model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
claude-opus-4.6,1,00398c,poster,42,0.1988392553992979,0.2824312985481795,1.6931258159430804,0.6109712952108566,0.6870938095918924,0.1074965671188768
claude-opus-4.6,2,00398c,poster,44,0.2502994190334627,0.3001435132964302,1.5256102555560855,0.6770078954942088,0.7079897838491234,0.1672992046211269
claude-opus-4.6,3,00398c,poster,40,0.3596994993680105,0.3194359466272601,1.376474273224873,1.020343267951488,0.7911534112325669,0.303536956116939
claude-opus-4.6,1,006450,mobile,43,0.3763575782431088,0.3733074338261422,1.2442077777182334,0.9133199994666852,0.7608780095757774,0.1853468443727777
claude-opus-4.6,1,003eb9,desktop,40,0.205218226216877,0.25031467473561,1.9009858939380773,0.7405392727302019,0.7650105902577801,0.0497877772520563
claude-opus-4.6,2,003eb9,desktop,42,0.121743988753584,0.2229809727337779,2.243365817329867,0.4508399070341505,0.7156740363277264,-0.0481386434691598
claude-opus-4.6,3,003eb9,desktop,43,0.1790928712306917,0.2311240798971349,2.0836072220604573,0.6042944499306859,0.7336770302798938,0.034273562533799
claude-opus-4.6,2,006450,mobile,42,0.4697369156078548,0.3912733596584491,1.1318498602382394,1.1892638249399106,0.8098817965681809,0.1917204056868088
claude-opus-4.6,3,006450,mobile,42,0.4125047209348792,0.3837766623619288,1.1860231086937931,1.0984769648743102,0.7964632123961571,0.1318212964983584
claude-opus-4.6,2,009d6b,desktop,47,0.1326121451342282,0.2520783333954081,2.210340991611204,0.3077226065083703,0.616189851226815,0.1695619837369799
claude-opus-4.6,1,009d6b,desktop,48,0.157469160306079,0.2739464815933461,2.068360350679147,0.3678600574760233,0.6513364100541902,0.1976168325943643
claude-opus-4.6,3,009d6b,desktop,48,0.1698153128498367,0.2745108120386034,2.016458224842925,0.4001024266580746,0.6469708455802305,0.2051507695695008
claude-opus-4.6,2,009085,web,45,0.0547141242094238,0.1873788080046282,2.6491377687756748,0.1844930104120392,0.6124043080279256,-0.0649281614723471
claude-opus-4.6,1,009085,web,47,0.0372716559007081,0.1794662064579332,2.7243828991263452,0.1173457852681376,0.5909808597633135,-0.07493786868391
claude-opus-4.6,3,009085,web,46,0.0409820066912299,0.1808318537780819,2.6872955665517697,0.1132387246701735,0.5948430232050175,-0.0509589626988845
claude-opus-4.6,2,00b3a0,desktop,45,0.1829021936783293,0.2540643516427398,2.9883089708120787,0.6113118962882985,0.6808258966280415,0.1220453227046887
claude-opus-4.6,1,00b3a0,desktop,46,0.1953961647454796,0.2484887880110582,2.690118001830069,0.5875932029216658,0.6756069559329024,0.1007605385408884
claude-opus-4.6,3,00b3a0,desktop,45,0.2315202680232773,0.2703945623260658,2.7959177433296514,0.7398102177658332,0.6870529037928106,0.1155023987862762
claude-opus-4.6,1,005f83,poster,41,0.2391563294732566,0.2850619295039477,2.365181350632384,0.5978265572327977,0.7090317552809996,0.2011349252697113
claude-opus-4.6,2,00b8f8,desktop,48,0.0746454373027439,0.1961514332121973,2.715962491943935,0.168452019659846,0.5943626447897571,0.0438573915345444
claude-opus-4.6,3,005f83,poster,40,0.2436233779574636,0.2794043230576454,2.487732181668661,0.6003394532717019,0.6992652040713084,0.2173646203351594
claude-opus-4.6,1,00b8f8,desktop,49,0.0494294169646044,0.1807885765290641,2.97512323732461,0.0663805452007926,0.5929290962660616,0.0470637398189494
claude-opus-4.6,3,00b8f8,desktop,48,0.0923404077518142,0.2036285029349119,2.6233175063316523,0.2201542952527141,0.6065985603272792,0.0668768180915218
claude-opus-4.6,2,005f83,poster,43,0.2104924025335913,0.2789448968708336,2.2742741517779868,0.5649165600945435,0.7136830386459181,0.1883411278029603
claude-opus-4.6,2,00d34f,mobile,35,0.1947963010351411,0.2410864476403395,4.207536456489113,0.3412503352191101,0.6182999671457758,0.0737205226659784
claude-opus-4.6,1,00d34f,mobile,35,0.2508427836700278,0.2806981121903306,3.4048809215039206,0.6884754990768135,0.705709434535426,0.0968279762935042
claude-opus-4.6,1,00f742,poster,40,0.286192542948774,0.3302892582837283,1.3170062648783083,0.5544731821922194,0.6591894363073946,0.2703025210164397
claude-opus-4.6,2,00f742,poster,40,0.2425070065302966,0.322118663593009,1.351600795605854,0.5219212051952961,0.6451472200625467,0.2084611514024732
claude-opus-4.6,3,00f742,poster,40,0.2977073740870339,0.3269368386647193,1.3283700203267417,0.5900835406728255,0.6738195820145405,0.2728777558468115
claude-opus-4.6,3,00d34f,mobile,35,0.2591698462250455,0.2893564524506117,3.4222088126932784,0.6269087683558401,0.6756561506359062,0.1089393061851033
claude-opus-4.6,2,00d37d,mobile,42,0.0481685619087101,0.2789133562014225,3.241480845220443,0.3436626760160794,0.6734623806963523,0.0083742114048627
claude-opus-4.6,3,00d37d,mobile,42,0.0229954696415114,0.2404592333942757,3.2736315782919556,-0.0490281522042019,0.5754343628698664,-0.0495171469438288
