model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
claude-sonnet-4.6,2,00398c,poster,35,0.1492779089873556,0.4698221125162266,1.0032924389863602,0.2946479091331067,0.5883372138738178,0.1174873007208576
claude-sonnet-4.6,1,00398c,poster,36,0.105671966162483,0.4537998051620036,1.0749540960704944,0.2329754048674691,0.5723563535700003,0.0723777838810685
claude-sonnet-4.6,3,00398c,poster,36,0.1133511036993687,0.457796296134943,1.0640246538928118,0.2331282718801207,0.5650991282918939,0.0956874198915683
claude-sonnet-4.6,1,006450,mobile,30,-0.0012613985891773,0.3481547726153273,2.101171778505621,0.0336305249869954,0.5235943757404116,-0.1247593272698452
claude-sonnet-4.6,1,003eb9,desktop,40,0.1038499278188906,0.2538695409871454,2.008238179711789,0.3490148720126596,0.6954478697550172,0.0965114112682851
claude-sonnet-4.6,2,006450,mobile,35,-0.1757805972972401,0.2995799155354832,2.3702505235215647,-0.3129706233579759,0.4156958327317747,-0.0754917921088067
claude-sonnet-4.6,3,003eb9,desktop,40,0.0744798795942386,0.2701455601394517,1.8278583476767092,0.2333231624735895,0.6220171628179275,0.0027633550456073
claude-sonnet-4.6,3,006450,mobile,37,0.1118206065247866,0.4014827037474658,1.7228893705474804,0.2991949423911386,0.5747833178741019,-0.0400959789992071
claude-sonnet-4.6,2,003eb9,desktop,40,0.1146099517967488,0.2628663107663369,2.0037563313819073,0.3561525190308623,0.6914072440977183,0.1363112303531822
claude-sonnet-4.6,2,009d6b,desktop,45,0.1536823416620033,0.3497400608922311,1.659990432600209,0.2224618039649839,0.5851266057653336,0.2241737974756481
claude-sonnet-4.6,1,009d6b,desktop,40,0.1258867801220979,0.3318393777685359,2.1325424135162314,0.1858713918344295,0.5890734015532,0.2085477288648228
claude-sonnet-4.6,3,009d6b,desktop,45,0.0840230955415193,0.331900257370323,1.797763160384572,0.1253995221668426,0.570664471246346,0.1370294651211595
claude-sonnet-4.6,1,009085,web,40,0.0114710045526329,0.2643875554730744,3.609962878629024,0.0531791656145897,0.5143866699096546,0.0317943924896379
claude-sonnet-4.6,2,009085,web,40,0.3036209601628145,0.3456447473644422,1.7644908960283063,0.8008822529366652,0.7342201367036115,0.2412280169134555
claude-sonnet-4.6,3,009085,web,39,-0.026390576570856,0.2272999351873754,3.684083182344053,-0.0830832126866301,0.5261338271139169,0.0114978283127847
claude-sonnet-4.6,1,00b3a0,desktop,40,0.1250976859870965,0.2935351733581448,2.0941364867362635,0.3922212686471659,0.7272204443549204,0.105771442877954
claude-sonnet-4.6,1,00b8f8,desktop,44,0.0959722752957191,0.3103441976224594,1.627658449357993,0.1141801034633432,0.5938307338308008,0.1041405606234283
claude-sonnet-4.6,2,00b3a0,desktop,44,0.442942866760797,0.4433925523100818,1.166667461787022,1.1585820820731694,0.7884998117867501,0.4153958904583641
claude-sonnet-4.6,2,005f83,poster,40,0.047606136665123,0.2951552042855423,2.810703817990985,0.1555231723710265,0.6636743423287843,0.0624942062315429
