model,run,image_id,category,n_points,CC,SIM,KL
gpt-5.4-mini,1,00398c,poster,41,0.18837036399584417,0.46980102165883875,0.9099967221209249
gpt-5.4-mini,3,00398c,poster,41,0.09917495989849257,0.4499482947919486,0.9882288620940263
gpt-5.4-mini,2,00398c,poster,39,0.20355090928371228,0.4714655147659047,0.9568484369073738
gpt-5.4-mini,1,003eb9,desktop,42,0.42868813469919687,0.4086042389411726,1.090495641672565
gpt-5.4-mini,2,003eb9,desktop,41,0.27106795800421835,0.34540746689695606,1.40294202360108
gpt-5.4-mini,3,003eb9,desktop,42,0.3974071708534381,0.4043171478105214,1.1864974826094696
gpt-5.4-mini,1,006450,mobile,40,0.025449666849869188,0.3806259986027356,1.5837476618562707
gpt-5.4-mini,3,006450,mobile,38,-0.13118066147910468,0.28820152564366597,2.014271783665791
gpt-5.4-mini,2,006450,mobile,41,-0.10640136451375518,0.32942720595819613,1.7077799987729108
gpt-5.4-mini,1,009085,web,41,0.2468948931359955,0.3545012509442942,1.5633812617150051
gpt-5.4-mini,1,009d6b,desktop,40,0.368856995951917,0.3964997970674108,1.24583407320285
gpt-5.4-mini,2,009d6b,desktop,44,0.33507519525746293,0.42671655468890973,1.289867375795626
gpt-5.4-mini,2,009085,web,46,0.46357542017142395,0.43840958791384366,1.0289901118009752
gpt-5.4-mini,3,009085,web,41,0.41092357052041417,0.39723981860696694,1.129403193944567
gpt-5.4-mini,1,00b3a0,desktop,40,0.5307604891703064,0.45360914363970484,1.2436254160778164
gpt-5.4-mini,3,009d6b,desktop,43,0.3059087801897431,0.4203417994199573,1.4073936415393882
gpt-5.4-mini,2,00b3a0,desktop,42,0.4367281286528354,0.4038861153166402,1.557963573379101
gpt-5.4-mini,1,005f83,poster,38,0.22742393283977033,0.38626189446245207,2.338396451790989
gpt-5.4-mini,3,00b3a0,desktop,40,0.5210390970807942,0.460754353124539,1.162902157030504
gpt-5.4-mini,1,00b8f8,desktop,41,0.24974400733392418,0.3684348193298107,1.5793408554983188
gpt-5.4-mini,2,00b8f8,desktop,39,-0.09498642706720797,0.24294551523236996,3.190345309573983
gpt-5.4-mini,3,005f83,poster,41,0.15613649020337658,0.35267771649724783,3.7975584666051727
gpt-5.4-mini,3,00b8f8,desktop,40,-0.028632901744267726,0.2699201028813059,1.9179720061453966
gpt-5.4-mini,2,005f83,poster,40,0.20846500282617947,0.3840969361675447,2.523672503317517
gpt-5.4-mini,2,00d34f,mobile,36,0.22139970587500651,0.33734112894067575,3.4602061110716087
gpt-5.4-mini,3,00d34f,mobile,39,0.11383512677227658,0.2533064182975483,5.010992380701835
gpt-5.4-mini,1,00d34f,mobile,36,0.14174047434717962,0.27645702075719764,3.1670754568957196
gpt-5.4-mini,1,00f742,poster,40,0.4921510923684637,0.48889306791658205,0.7712909008306916
gpt-5.4-mini,2,00d37d,mobile,40,0.05450444065393498,0.2789212184686268,3.255050847568565
gpt-5.4-mini,2,00f742,poster,42,0.27715061322463996,0.4395349536555655,0.9130880570131644
gpt-5.4-mini,1,00d37d,mobile,41,0.107511418660754,0.3151994115049241,2.5222701331306245
gpt-5.4-mini,3,00f742,poster,40,0.43970136448954916,0.49904609912375797,0.7831888755053513
gpt-5.4-mini,3,00d37d,mobile,38,0.05666933169179339,0.2879903840950154,2.988478167733898
gpt-5.4-mini,1,00fcd9,mobile,43,0.013877646383688847,0.32843667968242096,1.5448783205413006
gpt-5.4-mini,1,012baa,mobile,35,0.42833179735138677,0.4543609674523358,0.9269494960074236
gpt-5.4-mini,3,00fcd9,mobile,42,0.054059217276630704,0.31237227774819876,1.5586886027024527
gpt-5.4-mini,3,012baa,mobile,39,0.38716348252321847,0.4619228151063784,0.9031587577255875
gpt-5.4-mini,2,00fcd9,mobile,46,0.33023938890406646,0.4095776624164405,1.2862200309755838
gpt-5.4-mini,2,012baa,mobile,38,0.5063813765928626,0.4990488014703166,0.8331801128466596
gpt-5.4-mini,1,013aca,poster,40,0.3423492046286676,0.38061158869098916,1.1570671927313652
gpt-5.4-mini,2,013aca,poster,39,0.21175408205058377,0.34841636672136506,1.3999631459942723
gpt-5.4-mini,3,013aca,poster,38,0.2469815216564884,0.36055203514639417,1.2745884078515877
gpt-5.4-mini,1,0136d8,desktop,45,0.17010161724413608,0.3178688628797619,1.5459768387883743
gpt-5.4-mini,2,0136d8,desktop,46,0.2957436064464966,0.3582241773553252,1.2653343981125051
gpt-5.4-mini,3,0136d8,desktop,44,0.24052527389089254,0.34593824991877653,1.407057397927062
gpt-5.4-mini,1,014b22,web,44,0.16252433486862425,0.4007640773388494,1.2308905110921162
gpt-5.4-mini,2,016f77,mobile,39,0.1807589512577818,0.425144424606254,1.8587838399635737
gpt-5.4-mini,3,014b22,web,38,0.2225212166583252,0.3798963036857765,1.2128223016092508
gpt-5.4-mini,1,016f77,mobile,38,0.10665133106468176,0.3597798548357983,1.4134629092565065
gpt-5.4-mini,2,014b22,web,39,0.1931867141530021,0.39737640443599465,1.2080443293856646
gpt-5.4-mini,3,016f77,mobile,37,0.32810357548787583,0.46766499021008723,1.2251299531721223
gpt-5.4-mini,1,018c0a,poster,40,0.7280743382256915,0.563858631847147,0.5982503665119996
gpt-5.4-mini,2,018c0a,poster,39,0.708295095460587,0.5687575045350147,0.6889971794681042
gpt-5.4-mini,3,018c0a,poster,42,0.6629377449575828,0.5570604266401143,0.5807146278032594
gpt-5.4-mini,1,0197c7,poster,39,0.2185599221699212,0.3930428020145136,1.2743398199127318
gpt-5.4-mini,2,0197c7,poster,40,0.22022987190317347,0.38552946155939055,1.1771562494594723
gpt-5.4-mini,3,0197c7,poster,41,0.19460810304445722,0.3755358974484889,1.2078344644134917
gpt-5.4-mini,2,01ca85,mobile,38,0.6214778104628513,0.4848204578379167,0.8445984592409249
gpt-5.4-mini,1,01ca85,mobile,35,0.6273332854952298,0.48032419358922634,0.980905404619539
gpt-5.4-mini,3,01ca85,mobile,44,0.37747968376743934,0.4305495185945627,1.038711665111239
gpt-5.4-mini,1,01d4b9,poster,38,-0.02025799116527518,0.4820281245722289,0.853710632229951
gpt-5.4-mini,2,01d4b9,poster,37,0.021433889900066682,0.4918629605126178,0.8338263694476664
gpt-5.4-mini,3,01d4b9,poster,37,0.09099823910890534,0.5099742978241308,0.7978902881397146
gpt-5.4-mini,2,0186f0,poster,40,0.12811904548878633,0.34613319937592457,4.4019052903029605
gpt-5.4-mini,3,0186f0,poster,40,0.2385130973674402,0.32810911996880454,3.5085449309183447
gpt-5.4-mini,1,0186f0,poster,39,0.04677873749291048,0.25064278341705554,6.030656998374663
gpt-5.4-mini,1,01e2cd,mobile,40,-0.017832681068401423,0.24724513255603847,3.4771883573035445
gpt-5.4-mini,2,020ba5,mobile,40,0.10927524141946077,0.3314586810328296,3.347940872057445
gpt-5.4-mini,2,01e2cd,mobile,40,0.15374291719094885,0.3363259958297252,2.6144690149066054
gpt-5.4-mini,1,020ba5,mobile,37,0.10901745506363392,0.319057549525926,3.9221845688210077
gpt-5.4-mini,3,020ba5,mobile,41,0.12042893795182169,0.3110551422426722,4.062953592173705
gpt-5.4-mini,3,01e2cd,mobile,41,0.008669347671601421,0.2533225538079564,3.2837864063530087
gpt-5.4-mini,3,02622b,web,42,0.1908921908912562,0.3058533699979006,1.6840630433400752
gpt-5.4-mini,1,02622b,web,41,-0.03464445625650588,0.23074201861582525,2.21760005349421
gpt-5.4-mini,2,02622b,web,41,0.05448674729170864,0.27154588249102163,1.9999137404261145
gpt-5.4-mini,1,026a98,web,39,-0.011972603543622192,0.27228304897787886,3.2248986070896803
gpt-5.4-mini,2,026a98,web,36,0.19002719548541175,0.3319740202680889,1.9708375052734273
gpt-5.4-mini,3,026a98,web,41,0.05279666728942087,0.2979434767925758,2.46263932179401
gpt-5.4-mini,2,026dd2,web,43,0.3136713023397526,0.3881090259563966,1.3062974325005055
gpt-5.4-mini,1,026dd2,web,45,0.4413088603172326,0.4145352344763127,1.1923523769881341
gpt-5.4-mini,3,026dd2,web,42,0.22356881388554162,0.34673071337492156,1.420551230426179
gpt-5.4-mini,1,027990,poster,45,0.2611123039187637,0.39406895365256783,1.4188080084548886
gpt-5.4-mini,2,027990,poster,43,0.15918314132465594,0.3941575306010696,1.4436206864145251
gpt-5.4-mini,3,027990,poster,40,0.12798074598627762,0.3853954197497388,1.392601006136562
gpt-5.4-mini,2,029a48,web,42,0.3644966332924931,0.3615108495760162,1.2247051225337768
gpt-5.4-mini,1,029a48,web,43,0.2705699839115183,0.3480811323180368,1.6812864367202325
gpt-5.4-mini,3,029a48,web,40,0.1667345722900106,0.33831179744391293,1.7384135623914996
gpt-5.4-mini,1,02f37c,mobile,40,0.5476843733789498,0.5421967700675705,0.6947906529159886
gpt-5.4-mini,2,02f37c,mobile,36,0.32739315384619283,0.4454996479285427,0.9353812441926906
gpt-5.4-mini,3,02f37c,mobile,43,0.5780247965428527,0.5324227246067221,0.6730921679604213
gpt-5.4-mini,1,030bb3,desktop,41,0.45391005210102336,0.37585817824130663,1.2617165151950838
gpt-5.4-mini,2,030bb3,desktop,41,0.5295305663473937,0.3990082110109714,1.1019113550349753
gpt-5.4-mini,3,030bb3,desktop,43,0.46927240921926017,0.4181502755298482,1.4106114228059699
gpt-5.4-mini,1,02a592,web,41,0.06675886341442608,0.2213402694057925,3.095574586643974
gpt-5.4-mini,2,02a592,web,43,0.12093200816550545,0.27554151568773977,2.5868127192806862
gpt-5.4-mini,3,02a592,web,39,0.10709739594471185,0.2429445872464373,2.9226426795244707
