baseline,category,CC_mean,CC_std,SIM_mean,SIM_std,KL_mean,KL_std,NSS_mean,NSS_std,AUC_mean,AUC_std
center_g15,desktop,0.16790748035876343,0.19400714545388537,0.2445106559362947,0.10928506296567052,3.8492218386688197,1.7665552484636278,0.5360071811689008,0.5928163940442006,0.6610533330502335,0.12153480705042624
center_g15,mobile,0.058160910359372125,0.19625675793767958,0.20222535143005876,0.12004282030858902,5.34210665653268,1.8782978769598624,0.14797042320059392,0.46662890807184515,0.5325768986242781,0.12208629454933198
center_g15,poster,0.12961088889906008,0.1613967045768436,0.24390602246863125,0.0966198233981864,3.821119330423252,1.5988861698638637,0.3535172481336294,0.45047009502679447,0.6205423743466817,0.1127564870478427
center_g15,web,0.1362331488966571,0.13914778132016614,0.23837390309210563,0.085371376155413,3.4022215553288495,1.121506791897551,0.4251032547295149,0.4421840565422491,0.6541737851228383,0.09252347671208863
center_g25,desktop,0.1854419570822263,0.17516715226027796,0.2564270070881668,0.07513181603094948,2.221346417293753,0.7747290176856094,0.5963410055748728,0.5261534839114806,0.6610533330502335,0.12153480705042624
center_g25,mobile,0.05624098418899716,0.20316175950576076,0.2658650346252587,0.10046721902730109,2.6850160301356043,0.9623314763321381,0.1419758090072428,0.46651761430610966,0.5325768986242781,0.12208629454933198
center_g25,poster,0.15559748310314594,0.15621325025259786,0.28131019303878446,0.07778003599276995,2.1559525867136227,0.8988978837331802,0.42302888921427945,0.427042866996462,0.6205423743466817,0.1127564870478427
center_g25,web,0.1668511849586441,0.13060617914103922,0.25532022836606166,0.06503619155777408,2.035768677096905,0.48160758835184364,0.5205180801731872,0.3973205130022235,0.6541737851228383,0.09252347671208863
center_g35,desktop,0.18155653027794688,0.15831866554276208,0.24013944106115015,0.05851015401974082,1.9637997905118294,0.455477492684441,0.5868688212357066,0.47359962485594165,0.6610533330502335,0.12153480705042624
center_g35,mobile,0.04943816348228046,0.19701173749403517,0.281945243755153,0.08248006241002911,1.9415567046416193,0.5717769017986842,0.12646477119537444,0.44808535184078707,0.5325768986242781,0.12208629454933198
center_g35,poster,0.15774788414402235,0.15199160706625128,0.27667615634007287,0.07016236141470947,1.8067492801887044,0.49666769690133833,0.4298103170699432,0.40923387128677,0.6205423743466817,0.1127564870478427
center_g35,web,0.17252078499509294,0.11876730560572213,0.24051835448271017,0.05384142755073353,1.8893182739360614,0.34128672314606534,0.5380253499972575,0.35601833321319154,0.6541737851228383,0.09252347671208863
mean_gt,desktop,0.3738489496368371,0.10950742469713134,0.32871363830432193,0.0715269408356996,1.457180776085215,0.34418486410021076,1.1259674239557176,0.31906228773859746,0.7880571729645239,0.05437178857638057
mean_gt,mobile,0.4832372474887962,0.13827922103031196,0.44826100154844906,0.08156654842951057,1.0110745186560248,0.30017862058240585,1.1468242931695922,0.35403328441344084,0.7877383878957755,0.06134771960984995
mean_gt,poster,0.4202810448272197,0.1455004271387211,0.39215704918538685,0.0966628998190741,1.2427157115128882,0.4044457678365167,1.0805074866564535,0.35871588553017414,0.7760269480601308,0.06332655587317962
mean_gt,web,0.3950115929121738,0.10874145922731106,0.34477438360910456,0.06961144387128905,1.3891696470950614,0.3322206704674286,1.1508764642413187,0.31291120756478735,0.7914971957747643,0.05423404257242622
mean_gt_cat,desktop,0.3834257515165924,0.10276185279461314,0.33811720378269233,0.0702587556311751,1.4411344291062598,0.34458663170969156,1.1674406501065082,0.3137433580478065,0.79398325487932,0.05295268411645269
mean_gt_cat,mobile,0.4986237827400032,0.1457701367077221,0.4553230480127152,0.08145127136432628,0.986061636767278,0.29170884929252233,1.1818689453806273,0.38885368089588035,0.7917667628696687,0.06280453717720799
mean_gt_cat,poster,0.4311749518111195,0.14694617868653828,0.3947893166419761,0.09542339502240613,1.2232648606476202,0.39281772032323825,1.1153975891774062,0.3665360179467398,0.7810928902279825,0.06175503525287899
mean_gt_cat,web,0.39592317156273554,0.10959138704733916,0.3516232358162267,0.0708082576077806,1.3863828688213093,0.34422454782864736,1.1539919998940598,0.3159106651322505,0.7930279525552609,0.053340986644007375
noise,desktop,-9.707224801039919e-05,0.001257673976895166,0.18186768099359832,0.04087773893999338,2.402486942192344,0.31613118612915564,-0.0014103593094268007,0.026112612887641044,0.4999878067797117,0.007524614731075571
noise,mobile,-2.088332143353157e-05,0.0008868432748762296,0.2584280763943775,0.05271911299373923,1.921032115329935,0.2847946759537773,0.00039749979613064155,0.027720681939579193,0.5004308940371435,0.008034168668688203
noise,poster,-5.9326919177640165e-05,0.0013478708838514492,0.22790305765072613,0.05969580616593893,2.102957187717302,0.35784810165697123,0.0022277471475015136,0.03236104567870005,0.5010791291198801,0.009407191725338071
noise,web,3.538315291237168e-05,0.0011271505827127417,0.1883160748752717,0.04110020035190753,2.3462331689720926,0.30318602554472107,0.00019635321283454854,0.024337559737353617,0.5003565568778839,0.007040827497773262
uniform,desktop,0.0,0.0,0.19054752895428548,0.04360968093860015,2.095692405568611,0.31636524110429187,0.0,0.0,0.00039550134828667986,0.000267262334813409
uniform,mobile,0.0,0.0,0.27304640451666584,0.0572894246070872,1.6148680906469757,0.28474955455208206,0.0,0.0,0.0003164940200954336,0.0002384426746552817
uniform,poster,0.0,0.0,0.24003355447420094,0.06447049746950001,1.7966548926823962,0.35789185082057484,0.0,0.0,0.0004357121148476386,0.0005145735686923152
uniform,web,0.0,0.0,0.19735931852496347,0.04401800923572516,2.039941067467867,0.30355596396287143,0.0,0.0,0.0003008916549807382,0.00026161720659682527
