baseline,image_id,category,CC,SIM,KL,NSS,AUC
noise,fbd704,desktop,-0.0028928407710640696,0.30004391590090196,1.657800083246747,-0.019750809023428344,0.4941807202532217
noise,2021b7,desktop,0.0006765169839936889,0.32380992147601806,1.6097512915648835,0.00961176072474079,0.5028582896463184
noise,7613f2,desktop,0.0021671504754119837,0.30267644954540174,1.6864110216041768,0.000791027189756041,0.500277254869828
noise,d99b18,desktop,0.0014332752667643685,0.30548092725229836,1.7720126560967673,0.015117152143742665,0.5044722084369937
noise,460bf9,desktop,-0.0004786854110418932,0.29297071743522474,1.7679838776196932,-0.006360463779498388,0.49816298185476515
noise,a2da71,desktop,-0.0015097284249530256,0.31007706950035946,1.6828192604054504,0.0011216470950485657,0.5003725884789174
noise,95b2d2,desktop,8.686579042414296e-05,0.24865954025043116,1.94746797497734,0.003692821584485955,0.5011238556702454
noise,2e93e6,desktop,0.0017906146740455816,0.36889745900135834,1.4244430524864289,-0.004744528728752782,0.49864638046028253
noise,8b0b52,desktop,-0.0018192747445288236,0.462413895820744,1.064870207498174,-0.00192291155864611,0.4994688960100272
noise,536e7f,mobile,0.00029168445801617507,0.30406494402956863,1.6430528960734068,0.021045115135540172,0.5062346536768565
noise,4adea3,mobile,0.001611326681613037,0.45691533012293417,1.0510715789142469,-0.0030538165916034962,0.4991663401203448
noise,58a60d,mobile,0.0014924273488654033,0.3275172642164197,1.5790915791234035,-0.0021174667484143554,0.49944812765010543
noise,cced5f,poster,-0.0022686150312493814,0.46970033568133507,1.072706655889046,-0.002446387842430153,0.49941327446503014
noise,b2d2fa,poster,0.0010264301191906845,0.42380275986424304,1.2192796971997335,-0.015223156680464806,0.49556870084500954
noise,05e980,poster,0.00027013041184220947,0.5113962232469129,0.883692201868961,-0.0033971980716823273,0.49914719525987444
noise,708a08,poster,0.0010349395178193646,0.47717468712198274,1.0092431546464944,-0.015814152786183863,0.4953856355657239
noise,085001,poster,-0.006032886689187736,0.3184699099724161,1.670232228078133,0.012519715569526758,0.503818612259473
noise,9afe5f,poster,-0.0006080380110564985,0.5359577013068607,0.8159498706333745,0.004509148958743679,0.5013788064749917
noise,65576e,poster,-0.0003172808982974246,0.4362064212057112,1.154823570659645,0.012117392503106693,0.5036205660410337
noise,c27e4e,mobile,-0.000652877470839971,0.5618054663033365,0.7421701540876908,-0.001141443603414295,0.4996898420980964
noise,9efc81,web,5.2618367261627404e-05,0.4981832164881611,0.9564736876882914,-0.0004940615452201898,0.4998856184266939
noise,f639bf,mobile,-0.001309944222534087,0.36075790944063063,1.3711142817989923,-0.0038809638378361016,0.49889050082169617
noise,13af7a,mobile,-0.0005413567072095327,0.42018053837594005,1.1663349587228629,-0.006078265141297076,0.4982490091475406
noise,207fd4,mobile,0.0010514626824941423,0.474192927940923,1.0205611193200512,0.007235225686546104,0.5021338244199516
noise,e3d203,mobile,-0.000678214173921112,0.4381307655788145,1.1236686174768498,-0.0036511508236468093,0.4989614307321165
noise,17a8d1,mobile,6.759305437539282e-05,0.4666084828124013,1.0287407803370099,-0.004944226555958903,0.49857688826258395
noise,166bc9,web,0.0013779716209817755,0.3840495456882269,1.3380350820821028,0.00945116064256994,0.5028018021899378
noise,4e81ec,web,-0.0002196481274115567,0.3941295434401566,1.2950938556235556,-0.008913345736793556,0.49739690821180105
noise,5c88b8,web,-0.0007686076079488989,0.3458891196075672,1.4977381386004474,-0.010294035843929442,0.49699669632295396
noise,69a8c4,web,0.000300271304972514,0.4176056763093067,1.224865813844605,0.0032814370072656333,0.5009904536218174
noise,27d67e,web,0.0007292833194541644,0.3836721671128217,1.459403965162827,0.005536673165244974,0.5016544119927753
noise,6eb097,poster,-0.0011313823530517465,0.39962379275973914,1.312166930506634,0.0017861397056169997,0.5005407172583364
noise,781b7e,web,0.001097508167471232,0.3602678611722526,1.488392475626565,0.0010261007998653262,0.5003253660665539
noise,1fdbf2,desktop,0.0017099732588515889,0.41011434052238444,1.2410620456920658,0.0026049892352716865,0.5008092757959216
noise,72062c,web,0.0003685559586872451,0.2931535166736754,1.7289534772359354,0.011472543088481972,0.5033738014014165
