group_1,group_2,n,mean_diff,ci95_lo,ci95_hi,wilcoxon_stat,p_raw,rank_biserial_r,p_holm,sig_holm_05
claude-opus-4.6,claude-sonnet-4.6,1978,0.030679236690284394,0.023082514195399355,0.03831378296810623,741824.0,1.1547863981494033e-20,0.24196581803578626,1.0393077583344629e-19,True
claude-opus-4.6,gemini-3.1-flash-lite,1978,-0.056165607930129514,-0.06466517747214709,-0.047580504056209325,668650.0,3.065550440555225e-34,-0.31673880088758044,4.5983256608328374e-33,True
claude-opus-4.6,gemini-3.1-pro,1978,-0.05384457036251262,-0.06267803680779233,-0.0450109712299233,687236.0,1.876799996479929e-30,-0.2977466635261755,2.627519995071901e-29,True
claude-opus-4.6,gpt-5.4,1978,-0.0925576721035676,-0.10026560274456989,-0.08494367314696907,421997.0,2.0816349701321982e-106,-0.5687816103464537,4.787760431304056e-105,True
claude-opus-4.6,gpt-5.4-mini,1978,0.032499530541425216,0.024280473564763604,0.04079211008579846,761432.0,1.2420048088236559e-17,0.22192934814541565,9.593036898109976e-17,True
claude-opus-4.6,qwen-3.5-flash,1978,-0.0008679898364914458,-0.009940202357703603,0.008335956721230352,976065.0,0.9200307760593606,0.0026062329893609903,1.0,False
claude-opus-4.6,qwen-3.5-plus,1978,-0.028461842206947075,-0.03688218715008229,-0.019721415375286044,826190.0,1.9743620705266495e-09,-0.15575626995484948,7.897448282106598e-09,True
claude-opus-4.6,ui-tars-1.5,1978,0.14948841716679068,0.13960373725219732,0.15994016154640298,337760.0,2.0827060519020064e-140,0.6548593395465329,6.039847550515818e-139,True
claude-sonnet-4.6,gemini-3.1-flash-lite,1978,-0.08684484462041392,-0.09427665129811269,-0.07949859567769493,438312.0,2.2520049846230274e-100,-0.5521100983992181,4.9544109661706604e-99,True
claude-sonnet-4.6,gemini-3.1-pro,1978,-0.08452380705279702,-0.0922490980174531,-0.07683310104908689,468353.0,9.904826415893757e-90,-0.5214126487880072,2.0800135473376889e-88,True
claude-sonnet-4.6,gpt-5.4,1978,-0.12323690879385199,-0.12957438796783816,-0.11689655022487945,206702.0,8.744791305465724e-203,-0.78878119138722,2.7983332177490315e-201,True
claude-sonnet-4.6,gpt-5.4-mini,1978,0.00182029385114082,-0.0046505103189208065,0.008341065682243283,956285.0,0.3794055257171489,0.02281846138754189,1.0,False
claude-sonnet-4.6,qwen-3.5-flash,1978,-0.03154722652677584,-0.03876926709289878,-0.024212317705970824,774980.0,1.0953467362529367e-15,-0.20808530009998819,6.5720804175176204e-15,True
claude-sonnet-4.6,qwen-3.5-plus,1978,-0.05914107889723147,-0.06603760060806144,-0.052391238365485135,575692.0,1.1947841398713359e-56,-0.41172809954471395,2.1506114517684046e-55,True
claude-sonnet-4.6,ui-tars-1.5,1978,0.11880918047650628,0.1096210952013979,0.12821049698488635,409248.0,3.0111126864789312e-111,0.5818091988119951,7.828892984845222e-110,True
gemini-3.1-flash-lite,gemini-3.1-pro,1978,0.002321037567616899,-0.004257962722857461,0.00892356679573672,972071.0,0.7967077696002041,-0.006687509037001764,1.0,False
gemini-3.1-flash-lite,gpt-5.4,1978,-0.036392064173438085,-0.042470147607074946,-0.03037968724512033,699409.0,4.252073939752676e-28,-0.2853076616914406,5.527696121678479e-27,True
gemini-3.1-flash-lite,gpt-5.4-mini,1978,0.08866513847155474,0.08215059236899092,0.09505409241492338,364934.0,6.418175712416439e-129,0.6270915390160896,1.7970891994766028e-127,True
gemini-3.1-flash-lite,qwen-3.5-flash,1978,0.055297618093638076,0.048865092766950925,0.061864676683134154,577931.0,4.842474329758937e-56,0.40944017338781163,8.232206360590192e-55,True
gemini-3.1-flash-lite,qwen-3.5-plus,1978,0.02770376572318244,0.021780819247395857,0.03362118063807804,739699.0,5.231059778555549e-21,0.24413725308867476,5.231059778555549e-20,True
gemini-3.1-flash-lite,ui-tars-1.5,1978,0.20565402509692018,0.19623735157208325,0.21544117494152712,168147.0,2.4769071058314105e-223,0.8281786871350393,8.421484159826796e-222,True
gemini-3.1-pro,gpt-5.4,1978,-0.03871310174105498,-0.045201201585834516,-0.032236545990110735,701507.0,1.0580774392472455e-27,-0.2831638166368712,1.2696929270966946e-26,True
gemini-3.1-pro,gpt-5.4-mini,1978,0.08634410090393783,0.0793589115827265,0.09345581257397932,412578.0,5.667191873389053e-110,0.5784064323526451,1.3601260496133726e-108,True
gemini-3.1-pro,qwen-3.5-flash,1978,0.05297658052602117,0.04608718281089117,0.060060302889766326,612515.0,4.428125327262937e-47,0.3741004510964725,7.085000523620699e-46,True
gemini-3.1-pro,qwen-3.5-plus,1978,0.025382728155565543,0.018769235945971827,0.03191857538962459,777661.0,2.5709505895883404e-15,0.2053457154520851,1.2854752947941702e-14,True
gemini-3.1-pro,ui-tars-1.5,1978,0.20333298752930332,0.19380188612082808,0.21321073928849849,176756.0,1.1714329742533038e-218,0.8193815650784194,3.865728815035903e-217,True
gpt-5.4,gpt-5.4-mini,1978,0.12505720264499282,0.11962756614582427,0.13068596758907103,138563.0,8.904028771985673e-240,0.8584091504784055,3.116410070194985e-238,True
