duration,model,n,model_CC,prior_CC,mean_diff,ci_lo,ci_hi,p_raw,rank_biserial,p_holm
1s,claude-opus-4.6,1980,0.227,0.427,-0.2006,-0.2095,-0.1918,1.726982781060717e-227,-0.836,2.9358707278032188e-226
1s,claude-sonnet-4.6,1980,0.142,0.427,-0.2855,-0.2947,-0.2762,2.5275599288459242e-285,-0.937,5.813387836345625e-284
1s,gemini-3.1-flash-lite,1980,0.16,0.427,-0.2669,-0.2755,-0.2582,8.99954657906468e-279,-0.926,1.889904781603583e-277
1s,gemini-3.1-pro,1980,0.143,0.427,-0.2838,-0.2926,-0.2748,1.940880726834721e-285,-0.937,4.65811374440333e-284
1s,gpt-5.4,1980,0.217,0.427,-0.2106,-0.2193,-0.2019,5.159599299771978e-242,-0.862,9.803238669566759e-241
1s,gpt-5.4-mini,1980,0.154,0.427,-0.2733,-0.282,-0.2645,9.948223175526315e-288,-0.941,2.4870557938815785e-286
1s,qwen-3.5-flash,1978,0.135,0.427,-0.2918,-0.3,-0.2833,7.874421978798557e-296,-0.954,2.1260939342756105e-294
1s,qwen-3.5-plus,1978,0.161,0.427,-0.2664,-0.2746,-0.2579,7.100120977407426e-284,-0.935,1.5620266150296336e-282
1s,ui-tars-1.5,1980,0.122,0.427,-0.3055,-0.3142,-0.2964,1.4511871665510137e-295,-0.953,3.773086633032635e-294
3s,claude-opus-4.6,1980,0.303,0.432,-0.1291,-0.1405,-0.1177,2.5723422972823784e-89,-0.52,2.5723422972823784e-88
3s,claude-sonnet-4.6,1980,0.213,0.432,-0.2194,-0.2313,-0.2072,8.90515794696254e-177,-0.736,1.2467221125747555e-175
3s,gemini-3.1-flash-lite,1980,0.252,0.432,-0.1804,-0.1923,-0.1683,9.02945378562277e-137,-0.646,9.932399164185046e-136
3s,gemini-3.1-pro,1980,0.232,0.432,-0.1999,-0.2115,-0.1881,5.77899345086193e-162,-0.704,7.51269148612051e-161
3s,gpt-5.4,1980,0.326,0.432,-0.1058,-0.117,-0.0945,8.867116404175896e-67,-0.448,5.320269842505538e-66
3s,gpt-5.4-mini,1980,0.22,0.432,-0.2116,-0.2232,-0.1999,1.736789994294278e-179,-0.741,2.605184991441417e-178
3s,qwen-3.5-flash,1978,0.21,0.432,-0.2215,-0.2325,-0.2101,1.6247471863737655e-191,-0.766,2.599595498198025e-190
3s,qwen-3.5-plus,1978,0.245,0.432,-0.1872,-0.1986,-0.1754,1.4156758637167433e-150,-0.678,1.698811036460092e-149
3s,ui-tars-1.5,1980,0.17,0.432,-0.2616,-0.2716,-0.2507,7.438483849566022e-251,-0.878,1.4876967699132043e-249
7s,claude-opus-4.6,1980,0.344,0.403,-0.059,-0.0699,-0.0483,1.8742996558363199e-22,-0.253,3.7485993116726397e-22
7s,claude-sonnet-4.6,1980,0.279,0.403,-0.1239,-0.1353,-0.1123,3.3108031355152225e-80,-0.492,2.9797228219637e-79
7s,gemini-3.1-flash-lite,1980,0.342,0.403,-0.0607,-0.072,-0.0494,4.082146200044676e-24,-0.263,1.2246438600134027e-23
7s,gemini-3.1-pro,1980,0.326,0.403,-0.0768,-0.0881,-0.0654,1.1050683089790524e-36,-0.328,5.525341544895262e-36
7s,gpt-5.4,1980,0.408,0.403,0.0058,-0.0048,0.0163,0.11173454301159627,0.041,0.11173454301159627
7s,gpt-5.4-mini,1980,0.289,0.403,-0.1138,-0.1246,-0.103,4.887281975915507e-77,-0.482,3.9098255807324057e-76
7s,qwen-3.5-flash,1978,0.295,0.403,-0.1078,-0.1181,-0.0973,3.926145542033359e-76,-0.479,2.7483018794233516e-75
7s,qwen-3.5-plus,1978,0.337,0.403,-0.0656,-0.0763,-0.0546,2.0470862540916915e-30,-0.298,8.188345016366766e-30
7s,ui-tars-1.5,1980,0.171,0.403,-0.2314,-0.241,-0.2214,1.6127949307084235e-240,-0.859,2.9030308752751623e-239
