model,run,image_id,category,n_points,CC,SIM,KL
claude-opus-4.6,1,075286,desktop,45,0.2767649843396046,0.32226274939165295,1.8313672557977394
claude-opus-4.6,2,075286,desktop,44,0.26399516155149694,0.31551107699875075,1.741002372475318
claude-opus-4.6,3,075286,desktop,45,0.2790048811336321,0.3304686896204727,1.7062082510808132
claude-opus-4.6,4,075286,desktop,45,0.2872827097776224,0.32267377494871535,1.7988096832412686
claude-opus-4.6,5,075286,desktop,45,0.2804428326100097,0.32403385718977357,1.8477445004299533
claude-opus-4.6,6,075286,desktop,45,0.2631015585941063,0.31177890566532646,1.857784767258075
claude-opus-4.6,7,075286,desktop,46,0.2395636986158008,0.29875821993996,1.8604640422939458
claude-opus-4.6,8,075286,desktop,45,0.25340716634637306,0.29341250786756173,2.175634904587721
claude-opus-4.6,9,075286,desktop,44,0.2843063309406174,0.32671864429851016,1.7226834339221864
claude-opus-4.6,10,075286,desktop,45,0.2763932337365112,0.32266197621132514,1.805894876471056
claude-opus-4.6,1,0b81bd,poster,43,0.2716106107524159,0.33581001646764186,2.125287772311567
claude-opus-4.6,2,0b81bd,poster,43,0.3022963275114642,0.3551270022678511,1.9807010828986522
claude-opus-4.6,3,0b81bd,poster,43,0.25016568572620834,0.31834388324444785,2.1141692160240626
claude-opus-4.6,4,0b81bd,poster,43,0.3136157492217769,0.36736657035041914,1.8306580098881566
claude-opus-4.6,5,0b81bd,poster,45,0.2590991306244068,0.3341933917641826,2.0384999841825873
claude-opus-4.6,6,0b81bd,poster,44,0.36308475510446625,0.37089593840980606,2.0453422458705384
claude-opus-4.6,7,0b81bd,poster,43,0.35524439160511273,0.37258090112201464,1.9680805779060204
claude-opus-4.6,8,0b81bd,poster,43,0.3316289370071689,0.3591718507606416,2.0320888473436076
claude-opus-4.6,9,0b81bd,poster,45,0.3208555569917768,0.3773853325122918,2.0465165395292653
claude-opus-4.6,10,0b81bd,poster,43,0.2881393138589684,0.3456255969333489,2.0637253573875203
claude-opus-4.6,1,0f8ece,web,45,-0.005176403436344741,0.1284756151246265,4.841246723787515
claude-opus-4.6,2,0f8ece,web,45,-0.017974997733497484,0.12432142799794442,4.712135768200702
claude-opus-4.6,3,0f8ece,web,45,0.01846972013884967,0.15464704680128785,3.758665136950667
claude-opus-4.6,4,0f8ece,web,45,0.10747667319451415,0.19742761849405216,2.6662865973411782
claude-opus-4.6,5,0f8ece,web,45,0.003084532767008769,0.1455809566141091,3.7438715780134206
claude-opus-4.6,6,0f8ece,web,45,0.03682689791156016,0.1679989433027899,3.3974318390937395
claude-opus-4.6,7,0f8ece,web,44,-0.017952015791437022,0.12935358616087234,4.160660366572669
claude-opus-4.6,8,0f8ece,web,44,-0.04403172616156656,0.11342661414755459,5.077135289630557
claude-opus-4.6,9,0f8ece,web,45,0.011639754773907055,0.1465268082365967,4.054771078688575
claude-opus-4.6,10,0f8ece,web,45,0.03836527317326993,0.1608734641976737,3.9009243841572054
claude-opus-4.6,1,1b307f,mobile,40,0.2723566331123874,0.34573215770880333,1.7341473042996793
claude-opus-4.6,2,1b307f,mobile,40,0.12692453598087353,0.29308592539318,2.7300085322790912
claude-opus-4.6,3,1b307f,mobile,40,0.2627530046790554,0.3340240892095408,2.216901476496948
claude-opus-4.6,4,1b307f,mobile,40,0.21113641032695862,0.3324357629260656,2.048656014609788
claude-opus-4.6,5,1b307f,mobile,40,0.2744675795287501,0.3491340359185547,1.7802349507532118
claude-opus-4.6,6,1b307f,mobile,40,0.20983986801220034,0.33345614720783634,2.0887855773527693
claude-opus-4.6,7,1b307f,mobile,40,0.27385334703357506,0.33969670819674874,1.8259412534651265
claude-opus-4.6,8,1b307f,mobile,40,0.21608177282094215,0.3205915512569123,2.2060389610130087
claude-opus-4.6,9,1b307f,mobile,40,0.18536956525226017,0.29847473288081117,2.401898327261462
claude-opus-4.6,10,1b307f,mobile,41,0.24263815452911466,0.34722189530957087,2.1030837272511063
claude-opus-4.6,1,1dd09f,mobile,42,0.10461027918070454,0.16107138475148677,3.6504393987110095
claude-opus-4.6,2,1dd09f,mobile,42,0.07266674119705088,0.1380421265161024,3.627367215001403
claude-opus-4.6,3,1dd09f,mobile,44,0.05835476734935491,0.13998029790641342,4.0696116867722685
claude-opus-4.6,4,1dd09f,mobile,42,0.027902878613093072,0.11892992052210391,4.483179994554633
claude-opus-4.6,5,1dd09f,mobile,43,0.02623275926891773,0.12380361556353608,4.2580961023267445
claude-opus-4.6,6,1dd09f,mobile,43,0.03358604078597351,0.11743425435965525,5.572527452729343
claude-opus-4.6,7,1dd09f,mobile,43,0.09840392794884878,0.1452480041545684,3.4717440028846465
claude-opus-4.6,8,1dd09f,mobile,42,0.044169509754637654,0.12404382183109679,4.186494163336275
claude-opus-4.6,9,1dd09f,mobile,41,0.04092344617452277,0.12304909686694693,4.29691361407855
claude-opus-4.6,10,1dd09f,mobile,43,0.019522505708064783,0.11823466898469727,5.064980318821389
claude-opus-4.6,1,1fdbf2,desktop,44,0.257601613201002,0.3326873001615062,1.4576187390128503
claude-opus-4.6,2,1fdbf2,desktop,42,0.4070352422105442,0.3908295512765989,1.237113222376441
claude-opus-4.6,3,1fdbf2,desktop,40,0.34977790258736097,0.3462310376383744,1.6785870022291063
claude-opus-4.6,4,1fdbf2,desktop,44,0.257601613201002,0.3326873001615062,1.4576187390128503
claude-opus-4.6,5,1fdbf2,desktop,42,0.40252184133789803,0.37339010957689517,1.5943286273986879
claude-opus-4.6,6,1fdbf2,desktop,40,0.3230780265951397,0.3554667409181141,1.3822692177157523
claude-opus-4.6,7,1fdbf2,desktop,40,0.29091911874837717,0.3439667347653622,1.3751554178923309
claude-opus-4.6,8,1fdbf2,desktop,44,0.4064857544392106,0.3759035699066252,1.2555054928994822
claude-opus-4.6,9,1fdbf2,desktop,44,0.2860499390884472,0.3579124749947395,1.4326427928208287
claude-opus-4.6,10,1fdbf2,desktop,43,0.33994888608915713,0.36565174877339035,1.3012061152577616
claude-opus-4.6,1,2bb7d4,desktop,45,0.16935258197692837,0.27560162401204324,1.951226323628056
claude-opus-4.6,2,2bb7d4,desktop,45,0.09672395029453237,0.2500955318140463,2.0308949764331348
claude-opus-4.6,3,2bb7d4,desktop,45,0.16345858066512317,0.26380052642048035,2.0632530781069676
claude-opus-4.6,4,2bb7d4,desktop,45,0.09672395029453237,0.2500955318140463,2.0308949764331348
claude-opus-4.6,5,2bb7d4,desktop,44,0.13515044576397578,0.2754631457891735,1.935766199911138
claude-opus-4.6,6,2bb7d4,desktop,44,0.13743432210235368,0.258305501858965,2.0938546089064225
claude-opus-4.6,7,2bb7d4,desktop,45,0.19709990186038256,0.28889438465826833,1.864935988859757
claude-opus-4.6,8,2bb7d4,desktop,44,0.2305336013451988,0.2953108139966668,1.949219139510755
claude-opus-4.6,9,2bb7d4,desktop,45,0.17489076779754537,0.28225823653283755,1.8314729025615093
claude-opus-4.6,10,2bb7d4,desktop,45,0.16954116667962865,0.2828452347728833,1.7741542776554613
claude-opus-4.6,1,2fe128,desktop,48,0.24220286406973932,0.239833937556707,1.8005734542413125
