model,run,image_id,category,n_points,CC,SIM,KL
claude-sonnet-4.6,1,075286,desktop,45,0.2055321909414494,0.2572285892770706,2.03245586474951
claude-sonnet-4.6,2,075286,desktop,39,0.1494891690729365,0.235784972430651,2.146648522320032
claude-sonnet-4.6,3,075286,desktop,45,0.1374004028478224,0.2395826544564004,2.2204677171599174
claude-sonnet-4.6,4,075286,desktop,45,0.1374004028478224,0.2395826544564004,2.2204677171599174
claude-sonnet-4.6,5,075286,desktop,45,0.2660101386732088,0.2970940988900509,1.7669826059985874
claude-sonnet-4.6,6,075286,desktop,40,0.1827164924341062,0.260702937026812,2.197496565873415
claude-sonnet-4.6,7,075286,desktop,42,0.1934584734771813,0.25561507320427,1.893573794040871
claude-sonnet-4.6,8,075286,desktop,40,0.2064058557871205,0.265765141566872,2.108119049018571
claude-sonnet-4.6,9,075286,desktop,40,0.2107288912309476,0.2814272037971316,1.91458287214431
claude-sonnet-4.6,10,075286,desktop,40,0.1210083262469565,0.2311577349973785,2.1601930794945603
claude-sonnet-4.6,1,0b81bd,poster,45,0.1246037436842696,0.2533244979223503,3.16823565169248
claude-sonnet-4.6,2,0b81bd,poster,45,0.2274273544120256,0.281634256019583,2.250453339300207
claude-sonnet-4.6,3,0b81bd,poster,40,0.1427622858990902,0.2409574367416708,3.344316884807027
claude-sonnet-4.6,4,0b81bd,poster,40,0.1124473812222158,0.2399713905075872,3.2459177053713564
claude-sonnet-4.6,5,0b81bd,poster,40,0.1757261054556234,0.2723587652620179,2.7604696170793774
claude-sonnet-4.6,6,0b81bd,poster,40,0.0987466694197536,0.2118429360788769,4.055772216468238
claude-sonnet-4.6,7,0b81bd,poster,40,0.0953037773663679,0.2275215062651612,3.068268628433238
claude-sonnet-4.6,8,0b81bd,poster,40,0.156975631691465,0.2530744183217928,3.0084397864171715
claude-sonnet-4.6,9,0b81bd,poster,40,0.1345089243312053,0.2644535289191672,2.9101783420582956
claude-sonnet-4.6,10,0b81bd,poster,40,0.1638513158520825,0.263101840146537,2.914771899543629
claude-sonnet-4.6,1,0f8ece,web,35,-0.0141523852199174,0.1327436899526372,5.101250582011613
claude-sonnet-4.6,2,0f8ece,web,35,-0.1137964773037283,0.0712810205958234,6.504846699272743
claude-sonnet-4.6,3,0f8ece,web,35,-0.0551266321532785,0.1019938759413822,5.440785351443077
claude-sonnet-4.6,4,0f8ece,web,35,-0.1035457211078252,0.0728356347291576,6.834848258611787
claude-sonnet-4.6,5,0f8ece,web,35,-0.0504569441704202,0.1144087925560561,4.807739234909337
claude-sonnet-4.6,6,0f8ece,web,35,-0.0263572783959332,0.123243600182515,4.566658654012049
claude-sonnet-4.6,7,0f8ece,web,35,-0.0279516829390253,0.1241545462079031,4.827646091832236
claude-sonnet-4.6,8,0f8ece,web,35,0.0020234896127597,0.1252697294428757,4.618100514603606
claude-sonnet-4.6,9,0f8ece,web,35,-0.0712031066685895,0.092381875340256,5.514714505210173
claude-sonnet-4.6,10,0f8ece,web,40,0.1437268998132347,0.1989587117851471,4.458875763897344
claude-sonnet-4.6,1,1b307f,mobile,30,0.0658978593517942,0.2424034136880143,3.1795657485443565
claude-sonnet-4.6,2,1b307f,mobile,20,0.0681882960836167,0.2196452380546548,4.012463817051032
claude-sonnet-4.6,3,1b307f,mobile,20,0.0713645169140483,0.2199744387748758,3.746083273608361
claude-sonnet-4.6,4,1b307f,mobile,33,0.0909361734638459,0.261530703378926,3.2186705295570452
claude-sonnet-4.6,5,1b307f,mobile,16,0.076698848545878,0.2089545257305974,4.16121344214356
claude-sonnet-4.6,6,1b307f,mobile,30,0.0757777174468455,0.2513165559754459,3.302342480069051
claude-sonnet-4.6,7,1b307f,mobile,25,0.0551853038819771,0.2058840289023486,3.971563907953602
claude-sonnet-4.6,8,1b307f,mobile,22,0.0533576122679041,0.2130728316495632,3.9841902455116456
claude-sonnet-4.6,9,1b307f,mobile,30,0.0857228820994209,0.2439635553983202,3.2194638330445287
claude-sonnet-4.6,10,1b307f,mobile,17,0.069343016173399,0.2111398485894849,3.993279631647277
claude-sonnet-4.6,1,1dd09f,mobile,30,0.0503081251684331,0.1447301679242769,3.385094583587922
claude-sonnet-4.6,2,1dd09f,mobile,30,0.0207302736482925,0.1194256963851348,3.947958602516433
claude-sonnet-4.6,3,1dd09f,mobile,30,0.1578683749582375,0.1836118606645703,2.7688533435698384
claude-sonnet-4.6,4,1dd09f,mobile,30,0.053890737740511,0.1413812338346003,3.5603990316300544
claude-sonnet-4.6,5,1dd09f,mobile,33,0.092079512138992,0.1589930040598537,3.995188009581803
claude-sonnet-4.6,6,1dd09f,mobile,33,0.2131255014749677,0.2206576897265095,2.6640612879037993
claude-sonnet-4.6,7,1dd09f,mobile,25,0.0286709013612506,0.1079455466229206,5.717067217865798
claude-sonnet-4.6,8,1dd09f,mobile,30,0.0341211542823167,0.1263073847552198,3.863389909949092
claude-sonnet-4.6,9,1dd09f,mobile,30,-0.0052983932098507,0.1101157228845794,4.999490526020161
claude-sonnet-4.6,10,1dd09f,mobile,30,0.0154252401348657,0.1026963271305407,5.727778939754095
claude-sonnet-4.6,1,1fdbf2,desktop,35,0.2737303311189161,0.3185612280303251,1.4399030517502178
claude-sonnet-4.6,2,1fdbf2,desktop,35,0.1888038548977237,0.2875548440516051,1.7024941306768049
claude-sonnet-4.6,3,1fdbf2,desktop,35,0.2779627241901549,0.3018779702189962,1.461868598208179
claude-sonnet-4.6,4,1fdbf2,desktop,35,0.2727720769353547,0.3116133065753754,1.4628695987705012
claude-sonnet-4.6,5,1fdbf2,desktop,35,0.2730389082840271,0.3184411568802483,1.4416006674660342
claude-sonnet-4.6,6,1fdbf2,desktop,35,0.2704545793734432,0.3105616274434117,1.4672397315695478
claude-sonnet-4.6,7,1fdbf2,desktop,35,0.2040795409020047,0.2902639662087276,1.5678360791667745
claude-sonnet-4.6,8,1fdbf2,desktop,30,0.30090675383026,0.329101332992569,1.3865380480117877
claude-sonnet-4.6,9,1fdbf2,desktop,30,0.30090675383026,0.329101332992569,1.3865380480117877
claude-sonnet-4.6,10,1fdbf2,desktop,36,0.301851281372282,0.3173311839536964,1.516021464755854
claude-sonnet-4.6,1,2bb7d4,desktop,40,0.0503759852908587,0.2169339580145551,3.0635193219378363
claude-sonnet-4.6,2,2bb7d4,desktop,40,0.0173164399712605,0.2031038375892689,3.370366680965994
claude-sonnet-4.6,3,2bb7d4,desktop,40,0.1079662702336598,0.2451059257090949,2.372357359948943
claude-sonnet-4.6,4,2bb7d4,desktop,45,0.0805223328074031,0.2503037066575626,2.190535852091634
claude-sonnet-4.6,5,2bb7d4,desktop,43,0.0667262369081094,0.2242955311760033,2.8956160662493047
claude-sonnet-4.6,6,2bb7d4,desktop,34,0.0915692622731976,0.2331034616388466,2.7828724675154644
claude-sonnet-4.6,7,2bb7d4,desktop,43,0.0374614777943562,0.212738469621033,3.0476057010791044
claude-sonnet-4.6,8,2bb7d4,desktop,40,0.1097349344223508,0.2323034709613387,3.2975254875862072
claude-sonnet-4.6,9,2bb7d4,desktop,40,0.0828065507349195,0.2244191454371411,2.9921610144441195
claude-sonnet-4.6,10,2bb7d4,desktop,40,0.0355211838417938,0.2094676965017801,3.354502270363176
claude-sonnet-4.6,1,2fe128,desktop,45,0.2201919144485353,0.2209495596806314,1.8661371361955577
claude-sonnet-4.6,2,2fe128,desktop,45,0.1088397508912414,0.1938261931266252,2.119415053942224
claude-sonnet-4.6,3,2fe128,desktop,45,0.1699030938415393,0.2010090856654518,1.9879444463444005
claude-sonnet-4.6,4,2fe128,desktop,45,0.1840966579699472,0.2029621445683745,1.980118092417826
claude-sonnet-4.6,5,2fe128,desktop,45,0.1914426314390336,0.2160600855660151,1.935647281522777
claude-sonnet-4.6,6,2fe128,desktop,48,0.1606144888521781,0.2280203904771376,1.952018801601454
claude-sonnet-4.6,7,2fe128,desktop,45,0.1801716627558422,0.2138029582218107,1.9578271456283272
claude-sonnet-4.6,8,2fe128,desktop,45,0.1924196678706369,0.2166037235388886,1.9323567720858443
claude-sonnet-4.6,9,2fe128,desktop,45,0.2236444318829848,0.2180744408909481,1.890874854278836
claude-sonnet-4.6,10,2fe128,desktop,45,0.156011676205974,0.1866164740880552,2.170216401057613
claude-sonnet-4.6,1,3664a3,mobile,32,0.2703497100895388,0.3403912486479192,1.3700560577759948
claude-sonnet-4.6,2,3664a3,mobile,32,0.3369777487791299,0.3535439437358885,1.277785531117159
claude-sonnet-4.6,3,3664a3,mobile,31,0.3217473548587662,0.3513112064778206,1.344255966006339
claude-sonnet-4.6,4,3664a3,mobile,31,0.3209814196639258,0.3514690945476477,1.352375557146514
claude-sonnet-4.6,5,3664a3,mobile,30,0.2630643221600171,0.3210631756421738,1.4903750052247011
claude-sonnet-4.6,6,3664a3,mobile,31,0.3336678971057624,0.361343978680934,1.4526634076857667
claude-sonnet-4.6,7,3664a3,mobile,31,0.3198937659487685,0.351668284069534,1.3435890057719932
claude-sonnet-4.6,8,3664a3,mobile,31,0.3293212911735634,0.3533180195028066,1.2990156339082564
claude-sonnet-4.6,9,3664a3,mobile,31,0.3336269897425504,0.3574289043938996,1.3163068317968505
claude-sonnet-4.6,10,3664a3,mobile,30,0.3018611281944319,0.3523153821553299,1.36078971665908
