model,run,image_id,category,n_points,CC,SIM,KL
gpt-5.4,1,075286,desktop,40,0.1970094814817577,0.243962247751516,3.12725918991126
gpt-5.4,2,075286,desktop,45,0.2274226668752609,0.2667803316082238,1.8951686401209265
gpt-5.4,3,075286,desktop,44,0.2885625232647296,0.2927599532487914,1.9605508852035305
gpt-5.4,4,075286,desktop,40,0.2029842567389859,0.2467785922476246,2.7117386022496097
gpt-5.4,5,075286,desktop,40,0.2192822970858269,0.2548334967817505,2.5405505382776665
gpt-5.4,6,075286,desktop,40,0.2540269980188018,0.2700975736902552,2.6227119510047903
gpt-5.4,7,075286,desktop,42,0.2048739525570784,0.2513757217077897,2.2423906864486556
gpt-5.4,8,075286,desktop,40,0.2786656100056762,0.2841038333005909,2.073555634908153
gpt-5.4,9,075286,desktop,40,0.2451828188432825,0.2591399421813077,3.5349781979034898
gpt-5.4,10,075286,desktop,43,0.198680763112744,0.2384160475670507,2.7416309621169104
gpt-5.4,1,0b81bd,poster,40,0.2649481309586526,0.3148750503466948,3.427920333604127
gpt-5.4,2,0b81bd,poster,36,0.2384736189863958,0.300082440746191,3.291270279114035
gpt-5.4,3,0b81bd,poster,40,0.2754432236803685,0.3208169832630856,3.4748587706710694
gpt-5.4,4,0b81bd,poster,40,0.207371497761464,0.2873915450298292,3.3555969241413477
gpt-5.4,5,0b81bd,poster,36,0.2966309716999524,0.33473163657291,3.1341608087375974
gpt-5.4,6,0b81bd,poster,40,0.2327540506992008,0.3043053206063209,3.0737222094208025
gpt-5.4,7,0b81bd,poster,40,0.1121064509913082,0.239162367454753,3.924283950681804
gpt-5.4,8,0b81bd,poster,38,0.2816563888637952,0.3261442889717792,3.1194222906486453
gpt-5.4,9,0b81bd,poster,40,0.234175030795684,0.3112780646081868,3.4845169475484976
gpt-5.4,10,0b81bd,poster,40,0.254864930574377,0.3108236827850941,3.4844055183238067
gpt-5.4,1,0f8ece,web,40,0.0603419046292965,0.180934658221729,3.209821523938893
gpt-5.4,2,0f8ece,web,40,0.1112234174600496,0.2132242147922237,2.517477303855901
gpt-5.4,3,0f8ece,web,40,0.1542070329534233,0.2267320026866639,3.0297013041393015
gpt-5.4,4,0f8ece,web,35,0.1073200530799405,0.2071914201633426,2.7745860619028813
gpt-5.4,5,0f8ece,web,40,0.1032428285399694,0.1911407535361473,3.574796617383386
gpt-5.4,6,0f8ece,web,40,0.1769016844213139,0.2420251104549287,2.9553518340949414
gpt-5.4,7,0f8ece,web,40,0.1157284670140539,0.2134921357140737,3.1873156454760356
gpt-5.4,8,0f8ece,web,40,0.1400817711446615,0.2162375802142767,2.8886470940021254
gpt-5.4,9,0f8ece,web,40,0.1221692257742757,0.2033483189752729,3.162712671832425
gpt-5.4,10,0f8ece,web,40,0.1986794908357668,0.2322491164395866,2.58260944864936
gpt-5.4,1,1b307f,mobile,40,0.1804089225943106,0.3203647338118709,2.3184574771447046
gpt-5.4,2,1b307f,mobile,40,0.2620237028872272,0.368356994937969,2.0757375195201524
gpt-5.4,3,1b307f,mobile,40,0.2072597711721201,0.3657794308813316,2.471600541556337
gpt-5.4,4,1b307f,mobile,40,0.236731340156188,0.3826440655782048,3.4416698371255134
gpt-5.4,5,1b307f,mobile,41,0.2719184473598293,0.3775273786164491,2.208215798674136
gpt-5.4,6,1b307f,mobile,37,0.2228820407325694,0.3659116180066433,2.6442141059530044
gpt-5.4,7,1b307f,mobile,48,0.2370424641245342,0.35537126285733,1.7284781537224632
gpt-5.4,8,1b307f,mobile,40,0.2814748332950237,0.4080785541028902,2.567943020561992
gpt-5.4,9,1b307f,mobile,40,0.2320964008736938,0.3764770367164733,2.896419290082526
gpt-5.4,10,1b307f,mobile,40,0.2765961780056558,0.3999953308037762,2.444288821067249
gpt-5.4,1,1dd09f,mobile,40,0.1232747388371298,0.1766736578671626,3.877753710742029
gpt-5.4,2,1dd09f,mobile,40,0.2697384751340302,0.284386131011222,1.8935435980812576
gpt-5.4,3,1dd09f,mobile,41,0.1397404644397918,0.1890352585752241,3.536026626437263
gpt-5.4,4,1dd09f,mobile,40,0.0645005590806003,0.1425160271757432,4.483284226167928
gpt-5.4,5,1dd09f,mobile,40,0.0198596192599771,0.125740373694126,5.1079064247643275
gpt-5.4,6,1dd09f,mobile,40,0.1027012650449588,0.1689823391970075,4.468506257435934
