model,run,image_id,category,n_points,CC,SIM,KL
gpt-5.4-mini,1,075286,desktop,42,0.4694628488626206,0.4106675238065155,2.202776631368527
gpt-5.4-mini,2,075286,desktop,45,0.34035657595283486,0.3573862843625545,1.4878312180508952
gpt-5.4-mini,3,075286,desktop,44,0.4023966086594428,0.36544593550623783,1.424005332479807
gpt-5.4-mini,4,075286,desktop,41,0.36717233265622246,0.3620290363522022,1.9782556151975277
gpt-5.4-mini,5,075286,desktop,40,0.3524232519588075,0.3495512165225029,1.6591820053052995
gpt-5.4-mini,6,075286,desktop,46,0.3200271141312897,0.30545779134903706,2.7927387635087624
gpt-5.4-mini,7,075286,desktop,40,0.38430856880003206,0.3665728131177834,1.8931822164447398
gpt-5.4-mini,8,075286,desktop,40,0.35393346844147583,0.34406741315502715,1.846741377173133
gpt-5.4-mini,9,075286,desktop,36,0.29416910482178205,0.31714812548768245,2.583911213774021
gpt-5.4-mini,10,075286,desktop,46,0.4104078963946809,0.4100222671366126,1.43255758984074
gpt-5.4-mini,1,0b81bd,poster,40,0.2270085171601441,0.2859224489669663,3.1340189230728193
gpt-5.4-mini,2,0b81bd,poster,40,0.30861503407475266,0.3522458258826605,2.7258781480585976
gpt-5.4-mini,3,0b81bd,poster,44,0.4228231151499754,0.3998472005498566,2.538419065386974
gpt-5.4-mini,4,0b81bd,poster,44,0.45233246190298526,0.4249004572283004,1.8478234951379295
gpt-5.4-mini,5,0b81bd,poster,40,0.3773788388364373,0.3635723571318322,2.87832539158803
gpt-5.4-mini,6,0b81bd,poster,39,0.33556295689365545,0.3485662473508151,3.0156807824556946
gpt-5.4-mini,7,0b81bd,poster,42,0.3189815506735276,0.3412549895513458,2.7563472005315375
gpt-5.4-mini,8,0b81bd,poster,40,0.3098345954283823,0.3219189575201626,3.4015538617715255
gpt-5.4-mini,9,0b81bd,poster,45,0.36999356447082304,0.37300220817164553,2.292695191775344
gpt-5.4-mini,10,0b81bd,poster,42,0.3144727403930281,0.3392451022862396,2.4616572829175527
gpt-5.4-mini,1,0f8ece,web,42,-0.00845158677248549,0.20255735275855444,3.8596481064138075
gpt-5.4-mini,2,0f8ece,web,41,-0.09539838417355175,0.11947897252444614,6.063537626481905
gpt-5.4-mini,3,0f8ece,web,40,0.036045672370764316,0.22171223317488864,4.026771713198633
gpt-5.4-mini,4,0f8ece,web,45,0.09710365474595777,0.23064774374401115,3.0880716479782215
gpt-5.4-mini,5,0f8ece,web,40,0.03147033546921207,0.25009242625001976,3.0105320707899987
gpt-5.4-mini,6,0f8ece,web,46,0.015180431384224879,0.23370754807981353,3.8468083816218117
gpt-5.4-mini,7,0f8ece,web,44,0.07571491307236623,0.23264091510250157,2.603221569892573
gpt-5.4-mini,8,0f8ece,web,43,0.1673991481154199,0.2595077616606698,2.688972826112889
gpt-5.4-mini,9,0f8ece,web,38,-0.06397084375174669,0.14750034518468083,5.200350732866885
gpt-5.4-mini,10,0f8ece,web,39,0.08557090274438121,0.23370787492210543,3.2940611817470327
gpt-5.4-mini,1,1b307f,mobile,48,0.3300281783149754,0.3861688670372146,1.87698336279149
gpt-5.4-mini,2,1b307f,mobile,40,0.14281030999150102,0.2587673972959345,3.0030119046290205
gpt-5.4-mini,3,1b307f,mobile,39,0.30358235946759093,0.3520386461252487,2.531175236505684
gpt-5.4-mini,4,1b307f,mobile,40,0.14967723026996638,0.27076140345319666,2.2813294514239693
gpt-5.4-mini,5,1b307f,mobile,41,0.2870991443568921,0.3250277156946331,3.294775559989286
gpt-5.4-mini,6,1b307f,mobile,40,0.25525740487430787,0.3102500554804502,2.5373704466639335
gpt-5.4-mini,7,1b307f,mobile,43,0.1677827859848246,0.30838931680465803,2.092790509006163
gpt-5.4-mini,8,1b307f,mobile,46,0.39329285181206897,0.4519341770863299,1.292730421093158
gpt-5.4-mini,9,1b307f,mobile,45,0.11869926582219069,0.2537766523283643,2.7204030532609202
gpt-5.4-mini,10,1b307f,mobile,40,0.293741959898585,0.3494444589225072,1.7750638281625941
gpt-5.4-mini,1,1dd09f,mobile,40,0.015108038527763157,0.22009995542446453,4.100851127915033
gpt-5.4-mini,2,1dd09f,mobile,39,0.025422895166105467,0.2184273858771031,4.026549316337896
gpt-5.4-mini,3,1dd09f,mobile,39,0.061113023016382786,0.22914976687710448,3.2739815296885553
gpt-5.4-mini,4,1dd09f,mobile,40,0.03743456467644762,0.2207365184791807,3.464671869022368
gpt-5.4-mini,5,1dd09f,mobile,39,0.0774439142602068,0.24189777013567898,3.5896762741616897
gpt-5.4-mini,6,1dd09f,mobile,40,0.07931011117098645,0.2404393023963479,3.687547035016526
gpt-5.4-mini,7,1dd09f,mobile,40,0.04178690919676907,0.23146442621711857,4.155347513084845
gpt-5.4-mini,8,1dd09f,mobile,38,0.007543391022720438,0.21185853189665835,4.8658097399172515
gpt-5.4-mini,9,1dd09f,mobile,39,-0.05998204423975266,0.18905689031576312,4.6343615213192715
gpt-5.4-mini,10,1dd09f,mobile,35,-0.0789103392718524,0.16463558420425517,5.589578347484295
gpt-5.4-mini,1,1fdbf2,desktop,40,0.31448294392375986,0.4347246767433432,1.1597866571765305
gpt-5.4-mini,2,1fdbf2,desktop,42,0.39450215175978376,0.462775514251342,1.0858426447724292
gpt-5.4-mini,3,1fdbf2,desktop,43,0.13683513020662097,0.38875915486629825,1.4840008232763837
gpt-5.4-mini,4,1fdbf2,desktop,40,0.36964893710781965,0.4461614658057079,1.0377148863335899
gpt-5.4-mini,5,1fdbf2,desktop,40,0.3781628335185086,0.4655566487898618,1.05822617929475
