model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
gemini-3.1-pro,1,075286,desktop,48,0.5058148591996264,0.5043353557031072,0.9418567941698631,0.9005847838029098,0.7473631430326725,0.5010767694204009
gemini-3.1-pro,2,075286,desktop,48,0.5058148591996264,0.5043353557031072,0.9418567941698631,0.9005847838029098,0.7473631430326725,0.5010767694204009
gemini-3.1-pro,3,075286,desktop,48,0.558831147286918,0.531851222649661,0.860288338934728,0.9969091851649704,0.7650300114086042,0.53755429402602
gemini-3.1-pro,4,075286,desktop,41,0.5467226793038442,0.530212515504989,1.78040398860541,0.992342105720818,0.718846635178765,0.5691824874394014
gemini-3.1-pro,5,075286,desktop,32,0.481240315649056,0.4569002024198488,3.218907707125042,0.8974992940473909,0.6081493129045407,0.5308345106790752
gemini-3.1-pro,7,075286,desktop,32,0.4813468536239691,0.4569002050455162,3.218893027505096,0.8977276117081708,0.6081446751271994,0.5309155011926843
gemini-3.1-pro,6,075286,desktop,40,0.44429863780238477,0.46049667356405705,1.9513366165543946,0.8230835358846798,0.7078749173009995,0.4789363979693326
gemini-3.1-pro,8,075286,desktop,50,0.540815625366619,0.5338669236039026,1.1161053837201256,0.9826200238428525,0.7609336237274015,0.5215524388961577
gemini-3.1-pro,10,075286,desktop,32,0.46841246387639757,0.4509996873654646,3.234450657441207,0.8708812228648527,0.6062735431427594,0.5169737231664894
gemini-3.1-pro,9,075286,desktop,40,0.5334045546316255,0.5202590195175589,2.2742139011425904,0.9628499816249836,0.6732973607464299,0.56063280913574
gemini-3.1-pro,2,0b81bd,poster,50,-0.027811228219163008,0.0,9.831195291948896,-0.06541097471472734,1.524343770007012e-05,0.007859937130236808
gemini-3.1-pro,1,0b81bd,poster,37,-0.08289887989661789,0.0016601728791843602,9.813205176032229,-0.19409461973178585,0.013960852337943832,0.014460785775697718
gemini-3.1-pro,3,0b81bd,poster,50,0.3532358190940466,0.35110408650176556,3.008662796424462,0.8716621401644413,0.7550236830625993,0.36086506826900777
gemini-3.1-pro,7,0b81bd,poster,50,-0.027811228219163008,0.0,9.831195291948896,-0.06541097471472734,1.524343770007012e-05,0.007859937130236808
gemini-3.1-pro,6,0b81bd,poster,50,-0.027811228219163008,0.0,9.831195291948896,-0.06541097471472734,1.524343770007012e-05,0.007859937130236808
gemini-3.1-pro,5,0b81bd,poster,31,0.5414063328729442,0.49389358272534367,1.3868963870790583,1.263380996620968,0.7952319147555013,0.5320991071728035
gemini-3.1-pro,4,0b81bd,poster,30,0.5643237412557545,0.5066311423020663,1.3575625343500635,1.307516997510369,0.800701780426257,0.5614841310883699
gemini-3.1-pro,8,0b81bd,poster,50,-0.027811228219163008,0.0,9.831195291948896,-0.06541097471472734,1.524343770007012e-05,0.007859937130236808
gemini-3.1-pro,9,0b81bd,poster,50,-0.027844454964045123,0.0,9.831194683033068,-0.06548912278327926,1.524343770007012e-05,0.00786117186182817
gemini-3.1-pro,10,0b81bd,poster,32,0.5697984405152878,0.5063813549162577,1.3377949487484273,1.3269947246499665,0.8004457795587416,0.5494365524523993
gemini-3.1-pro,1,0f8ece,web,28,0.18251932868201298,0.2977968161124175,4.13965629582568,0.3034336717410153,0.522721896328064,0.17238078683307664
gemini-3.1-pro,2,0f8ece,web,29,-0.08520470372138665,0.0014843697182850306,9.59913188783377,-0.15636260308498512,3.757703291748084e-05,-0.04443400182831355
gemini-3.1-pro,4,0f8ece,web,29,-0.09451086852289267,0.0014896914360910327,9.598954937490273,-0.17344339203187656,3.757703291748084e-05,-0.04971359277796312
gemini-3.1-pro,5,0f8ece,web,40,-0.05979171200404594,0.0008389932812237232,9.618067427906555,-0.10969431505710213,3.757703291748084e-05,-0.031057703235910762
gemini-3.1-pro,7,0f8ece,web,40,-0.0695420358386161,0.0013246277463775935,9.601512333396265,-0.12760745710454952,3.757703291748084e-05,-0.03611771731168825
gemini-3.1-pro,3,0f8ece,web,30,-0.0860181818815989,0.0014607643281883674,9.599577793491996,-0.15785413798049236,3.757703291748084e-05,-0.04489168737531547
gemini-3.1-pro,8,0f8ece,web,50,-0.07475413710904806,0.000958506064249691,9.615945078030355,-0.13714821715532555,3.757703291748084e-05,-0.03910958177772706
gemini-3.1-pro,6,0f8ece,web,50,-0.06850440263889963,0.0008875896995649648,9.61694032129337,-0.1256786251094395,3.757703291748084e-05,-0.0356120745278101
gemini-3.1-pro,10,0f8ece,web,46,-0.07071204279720239,0.000908531701729226,9.616346965654584,-0.12972945962805138,3.757703291748084e-05,-0.036624385688548804
gemini-3.1-pro,9,0f8ece,web,50,-0.03987471455168688,0.000371262288266552,9.635564016503206,-0.07315160533639598,3.757703291748084e-05,-0.020614517157684822
gemini-3.1-pro,1,1b307f,mobile,31,0.34071652598455376,0.38386382843474076,2.426456585828602,0.7116316682136857,0.722970967027861,0.24994424138667434
gemini-3.1-pro,4,1b307f,mobile,33,0.3806679777635115,0.43028068566842664,2.0011451587650377,0.7189700636907546,0.7413387046259146,0.2789410916270621
gemini-3.1-pro,2,1b307f,mobile,30,0.22185975473622824,0.3438029715053998,2.650932829742602,0.38126559376547936,0.716401594236766,0.15850686434112846
gemini-3.1-pro,3,1b307f,mobile,35,0.27230269581287153,0.38787022626279627,2.1459589877120506,0.4507762846221251,0.747508289829047,0.21641152473118616
gemini-3.1-pro,6,1b307f,mobile,31,0.28774939956420287,0.3794204464365023,2.486521960138399,0.5519307631479051,0.7096988476127097,0.17357143247292936
gemini-3.1-pro,5,1b307f,mobile,30,0.2524245290052005,0.3617689987280878,2.60439526921492,0.4678538580347799,0.7058776613749745,0.1918895136532572
gemini-3.1-pro,7,1b307f,mobile,49,0.5321402627353031,0.5500787406679057,1.069140700203433,1.0070235470083853,0.7940422790696076,0.39508132998278117
gemini-3.1-pro,8,1b307f,mobile,29,-0.07545394434080524,0.06686965994012364,6.321455004481051,-0.13470467383569554,0.40641050703231024,0.027685976459787622
gemini-3.1-pro,9,1b307f,mobile,29,0.21488729109983754,0.33829008840729885,2.7030765882616694,0.3721749789304499,0.7091721461677595,0.16125018914048986
gemini-3.1-pro,10,1b307f,mobile,44,0.36409626352229574,0.4645072015318693,1.546166730775512,0.6429868965176143,0.7332908819779315,0.3025826257363203
gemini-3.1-pro,1,1dd09f,mobile,33,0.05562504994244902,0.23144153093587813,4.192750997904546,0.10851491050687553,0.581735790335183,0.023340122440023207
gemini-3.1-pro,4,1dd09f,mobile,38,0.37594821588579863,0.4416814688196613,2.5021059140976045,0.7915640263807299,0.6680601397762657,0.2805710079656046
gemini-3.1-pro,6,1dd09f,mobile,32,0.11148810890326545,0.263098647192442,3.9903853189522738,0.18436694308124896,0.596848059576564,0.0592481904717917
gemini-3.1-pro,5,1dd09f,mobile,32,0.09864744617653096,0.25954757785178106,4.015987956279525,0.1496174992670855,0.5893339991986725,0.038467827774739935
gemini-3.1-pro,3,1dd09f,mobile,32,0.09930355688577744,0.25809966863583594,4.030843610585054,0.16113829240908978,0.5888570726495238,0.06066402730257999
gemini-3.1-pro,2,1dd09f,mobile,33,0.09343736427402244,0.2562841152470352,4.044344290644218,0.14274628348169452,0.5884693870001396,0.041272434358442765
gemini-3.1-pro,7,1dd09f,mobile,32,0.1715081371086154,0.2812782111546671,3.82872740529669,0.26457163404395206,0.6068580760255482,0.11107866493684411
gemini-3.1-pro,2,1fdbf2,desktop,46,0.4067075688663979,0.5325667859768112,0.7370517272469927,0.6305854312365163,0.6979748300004766,0.4114402354149769
gemini-3.1-pro,1,1fdbf2,desktop,30,0.5452059517771948,0.5914745914098686,0.6356195390611201,0.8590248810516552,0.7455074380576311,0.5715314510690057
gemini-3.1-pro,8,1dd09f,mobile,32,0.09851877643548176,0.258671649965891,4.013927768457297,0.1705092731477446,0.586970526150575,0.055181384553579405
gemini-3.1-pro,4,1fdbf2,desktop,31,0.5652553715952113,0.5930250548490489,0.5789719748677592,0.8999906975851044,0.7550716606248469,0.5904448763147306
gemini-3.1-pro,3,1fdbf2,desktop,45,0.4059829568821525,0.532413510769844,0.7361613235428202,0.6314536189325872,0.6982049368640929,0.4059868738180253
gemini-3.1-pro,5,1fdbf2,desktop,35,0.6301403565379573,0.6301729970465985,0.5342672134439914,0.9598917304761355,0.762078845047553,0.6407575483248444
