model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
gpt-5.4,2,075286,desktop,45,0.5330796077946608,0.536208599120115,0.7466100222775887,0.9592406321629517,0.7677642407475782,0.5162323722911754
gpt-5.4,1,075286,desktop,40,0.5142805416372591,0.5230544015582456,1.0516475403576786,0.9019193383755275,0.7550924301280625,0.5049830044562816
gpt-5.4,5,075286,desktop,40,0.5886129001909114,0.5629214145901329,0.8550251161578238,1.047465131822663,0.7790465831896133,0.5786439342061772
gpt-5.4,3,075286,desktop,44,0.5804462196779521,0.5629314414788571,0.6778515334103605,1.0559180929501526,0.7835348361223118,0.5500763916455893
gpt-5.4,6,075286,desktop,40,0.6315402603201452,0.5798401884190377,0.7760085413632222,1.117819714440793,0.7814144000386756,0.6126271974369619
gpt-5.4,4,075286,desktop,40,0.5260954821097881,0.5159143266765925,1.1866093092938683,0.9456504527289677,0.7327620924682834,0.5096861854919209
gpt-5.4,7,075286,desktop,42,0.4959744275635659,0.4993537173267179,0.933352493330515,0.9254981764635727,0.7358847242700091,0.47968946264808604
gpt-5.4,8,075286,desktop,40,0.5365941730329085,0.540549791660963,0.7893261818159851,0.9814672635596263,0.778340130303426,0.518747175276297
gpt-5.4,10,075286,desktop,43,0.5456569281749644,0.5361699182235764,1.0588756198068476,0.9659443366383288,0.7470227338004348,0.5255881206902513
gpt-5.4,9,075286,desktop,40,0.563572457572975,0.5511794286168918,1.2613387327709615,1.0001109622745916,0.742948336235337,0.5406294506914322
gpt-5.4,3,0b81bd,poster,40,0.6610138217728003,0.5841069781675612,1.0594441037026552,1.5545661665342088,0.8225690403131363,0.6359406852856155
gpt-5.4,5,0b81bd,poster,36,0.5007569552310246,0.4970072653128086,1.250217655907493,1.1848247340162212,0.8181485962144988,0.45090300046489123
gpt-5.4,1,0b81bd,poster,40,0.5566226827923979,0.5224062764007363,1.0786406725058661,1.233379251993969,0.80924047231559,0.5182309023659732
gpt-5.4,4,0b81bd,poster,40,0.47939915608304984,0.48031053544006663,1.2883945826727141,1.090207945858001,0.8073988251164692,0.4477985989359908
gpt-5.4,8,0b81bd,poster,38,0.5738723512759967,0.5334684424027563,1.0935437367325003,1.279914907634625,0.8101905968793434,0.55072459814619
gpt-5.4,2,0b81bd,poster,36,0.5297536805340105,0.4973139246695917,1.233407929220959,1.2409053554987326,0.8071485977011057,0.5273947500606259
gpt-5.4,6,0b81bd,poster,40,0.5631048224765742,0.5201345549200178,1.1567234373289494,1.2922152178067503,0.8143926150522073,0.548759248842392
gpt-5.4,7,0b81bd,poster,40,0.41972396729663164,0.42997144811908516,1.632547903728169,0.8803587907967356,0.7684941442677355,0.41637724512294194
gpt-5.4,9,0b81bd,poster,40,0.6119290253793058,0.544746296249126,1.1325394210256985,1.4022719567308959,0.8234653265772489,0.5957003914862468
gpt-5.4,1,0f8ece,web,40,0.341712445929653,0.4438890298866831,2.006087168838899,0.6656726950564329,0.6843332633442094,0.3111972094106301
gpt-5.4,10,0b81bd,poster,40,0.6128020750644503,0.5374227934463129,1.1605061735827746,1.3488496667604015,0.8166651783813103,0.5837228153123275
gpt-5.4,2,0f8ece,web,40,0.37110110115145173,0.4363169624723411,1.9900201777471591,0.6196640805251384,0.67054577247438,0.33820761763818
gpt-5.4,3,0f8ece,web,40,0.3193691700830157,0.4202559650821986,2.234287116667755,0.5453048078114071,0.6732698986565135,0.27854769008262126
gpt-5.4,8,0f8ece,web,40,0.4106706330205211,0.4710647005295911,1.7087284140442662,0.817997204672776,0.7096687449775254,0.362528775068584
gpt-5.4,4,0f8ece,web,35,0.36697405583530707,0.4495313992699252,1.8294333705101264,0.5897496357403169,0.7164619657557801,0.3235331994981981
gpt-5.4,7,0f8ece,web,40,0.17865237738774462,0.3621791972892212,3.230189110584977,0.35100548243999313,0.5908898966851075,0.12493546683092986
