model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
qwen-3.5-plus,4,075286,desktop,47,0.7101852133922004,0.6291734309370027,0.694245480383152,1.2453082790427619,0.8100393279005684,0.669932872893366
qwen-3.5-plus,1,075286,desktop,40,0.6251871300102202,0.5586226476542897,1.0494802786848698,1.0908339687733843,0.7685433695043974,0.569943606230644
qwen-3.5-plus,2,075286,desktop,42,0.6558375980609285,0.5862251020986566,0.9352498023479479,1.146107838871023,0.7691132129713562,0.640974738527554
qwen-3.5-plus,3,075286,desktop,35,0.6483305845486831,0.598147134206238,1.069965701898718,1.116843962676633,0.7781755768860454,0.6193313142993707
qwen-3.5-plus,5,075286,desktop,54,0.7255689830786889,0.6301279310804186,0.8058224601136634,1.3301184929398204,0.8046681914156708,0.7013436644434979
qwen-3.5-plus,6,075286,desktop,50,0.7007720313531198,0.6075717783136731,0.5955654816846512,1.236872151352702,0.7890974140874308,0.6654331997780499
qwen-3.5-plus,7,075286,desktop,42,0.641450284615515,0.5835098376063419,0.8408931297008587,1.1437443348170087,0.7741497753393078,0.6244359943829022
qwen-3.5-plus,8,075286,desktop,43,0.7328950597119988,0.6317994706507652,0.8268560777425813,1.3381736241393305,0.7983930524574526,0.700371977597865
qwen-3.5-plus,9,075286,desktop,40,0.5523108593145747,0.5369173859689739,0.9021344934910577,0.9953287066464644,0.7694007144075942,0.523249525116542
qwen-3.5-plus,10,075286,desktop,50,0.7276595511233719,0.619850839340288,0.6910729314197297,1.2990620056758386,0.7938922086011004,0.6899560307232074
qwen-3.5-plus,1,0b81bd,poster,45,0.5157184707779525,0.4961518277767283,1.1626285738276334,1.1917646426219037,0.8204841235353704,0.5049546684843029
qwen-3.5-plus,6,0b81bd,poster,50,0.5602020586540679,0.5317808906757944,1.0883928169240817,1.2906701193353314,0.8163806800800065,0.5429990270029069
qwen-3.5-plus,3,0b81bd,poster,44,0.5555836101862555,0.5064464435615079,1.1983178144692281,1.2088115906077448,0.8089647395110371,0.5603918082492232
qwen-3.5-plus,7,0b81bd,poster,40,0.5739524951772172,0.5352731824011242,1.0329785835840828,1.2897658891575359,0.828059829027955,0.5453726625033813
qwen-3.5-plus,5,0b81bd,poster,40,0.5081928989696092,0.4928306869921435,1.228444335798073,1.149757044782247,0.8158260735100769,0.5128286710933814
qwen-3.5-plus,4,0b81bd,poster,40,0.5655494978873938,0.5164177817594147,1.1154451816747746,1.315830819297396,0.8265578937557666,0.5584356105296409
qwen-3.5-plus,9,0b81bd,poster,48,0.5506230674723667,0.5157621120133089,1.1809653741088646,1.2810990949200771,0.8209646463409015,0.5608175732431273
qwen-3.5-plus,2,0b81bd,poster,44,0.5171818288760043,0.4828679521785735,1.2235863900429411,1.1946359543432314,0.8181753401610524,0.5138187159825314
qwen-3.5-plus,8,0b81bd,poster,40,0.5748784068353578,0.5327557753213499,1.0096403190399983,1.3430488038632613,0.8370592220219539,0.5521702668280875
qwen-3.5-plus,1,0f8ece,web,50,0.535213894007897,0.5426670908572332,0.9364380518686576,1.1398412788944443,0.797051306229382,0.5080238869739745
qwen-3.5-plus,10,0b81bd,poster,45,0.5721963539341712,0.5460619235421873,0.9503617137884375,1.351321821012917,0.8236584133276128,0.5478117301693929
qwen-3.5-plus,3,0f8ece,web,47,0.5538988980606645,0.5508275940588739,1.080568104603746,1.1795506935148306,0.7864103739699858,0.5339995227677365
qwen-3.5-plus,5,0f8ece,web,50,0.4523615321125609,0.4934245611405629,1.6447271263409244,1.0447275344768239,0.7466345787771088,0.42699776934066064
qwen-3.5-plus,4,0f8ece,web,45,0.44281428453935157,0.5029332345647228,1.6121679040921255,0.9219727090476982,0.744707093961861,0.4166148199772391
qwen-3.5-plus,6,0f8ece,web,48,0.5605305527403497,0.5542159246927292,1.0244602201325996,1.0374214100372003,0.7914436872938266,0.5357986736701194
qwen-3.5-plus,8,0f8ece,web,42,0.5577945478437167,0.5381608387168322,1.4268203742001322,1.2278558833814133,0.7797249430611874,0.5328856060928017
qwen-3.5-plus,7,0f8ece,web,50,0.46625258156621346,0.5210278185986916,1.2285020891889764,0.9827217797991887,0.760195007838595,0.44020289526005524
qwen-3.5-plus,2,0f8ece,web,45,0.5474590990079755,0.5485146441840985,1.0879247671599241,1.219745021281872,0.7991050210475119,0.526664906197993
qwen-3.5-plus,1,1b307f,mobile,50,0.5046297745731021,0.5474579047941781,1.2069223382892134,1.0639867215959016,0.8025867995726069,0.33174353174724724
qwen-3.5-plus,9,0f8ece,web,46,0.621175557112947,0.5709965640645788,1.4321909144396354,1.22750778176456,0.7802136482934666,0.6103238751737221
qwen-3.5-plus,10,0f8ece,web,44,0.44875720468452523,0.49069365500211676,1.4092386082840755,0.8962381370707737,0.751882120762348,0.4203069999963063
qwen-3.5-plus,3,1b307f,mobile,47,0.4056028627247589,0.47867827612183245,1.2779102123085853,0.891630673673024,0.7804523080086606,0.2578849501481276
qwen-3.5-plus,5,1b307f,mobile,40,0.3368717671128113,0.46036488471303744,1.817014563010474,0.6144743786493633,0.7489613876962087,0.16695657405191588
qwen-3.5-plus,2,1b307f,mobile,48,0.42945531122833347,0.5041331406255044,1.2663377416087602,0.6768864503967377,0.7714528902403267,0.2967584043541985
qwen-3.5-plus,7,1b307f,mobile,48,0.49007142673077586,0.5475005870897871,1.287971343084157,0.9813439205541069,0.7994197904212947,0.3163014869241109
qwen-3.5-plus,6,1b307f,mobile,45,0.4379370422239468,0.5011304101990647,1.2734341753475347,0.8748102617049734,0.7820400159098259,0.26922505862299473
qwen-3.5-plus,4,1b307f,mobile,50,0.48728645301485807,0.5263817732533557,1.1800051693315756,0.909380808174,0.790712418649437,0.3512485176290631
qwen-3.5-plus,1,1dd09f,mobile,50,0.37723324179213846,0.46285428687670443,2.0538853553527634,0.7729380758253318,0.6967640922577114,0.2857775988522678
qwen-3.5-plus,10,1b307f,mobile,45,0.4856494413310644,0.5268093808357582,1.4576642305455199,1.0324161940721555,0.7714671632953484,0.3031758161868205
qwen-3.5-plus,9,1b307f,mobile,49,0.45266147300033466,0.5159864866573136,1.2352416289616477,0.8149565097852038,0.7786311973705782,0.3201453305467001
qwen-3.5-plus,2,1dd09f,mobile,45,0.23258071623781684,0.38470567540096595,1.804154229508809,0.4928631496734853,0.7125144194074029,0.16144944873231135
qwen-3.5-plus,8,1b307f,mobile,48,0.4308567769457269,0.5276674712345301,1.2916586379131525,0.8667360683713948,0.8000111044833017,0.30177020313514935
qwen-3.5-plus,6,1dd09f,mobile,39,0.3919286177414205,0.4525067412299272,2.5822737085495797,0.8568750224107893,0.6869234359391955,0.33104583168866986
qwen-3.5-plus,4,1dd09f,mobile,50,0.4754005016122056,0.47854297586924854,2.095435845372321,1.0875234748464473,0.6866636127318576,0.4033768132327002
qwen-3.5-plus,5,1dd09f,mobile,40,0.288674067549059,0.3946851032827765,2.732466995532857,0.4726297768836624,0.6786286575460411,0.21064560048395534
qwen-3.5-plus,3,1dd09f,mobile,45,0.2324683323832139,0.39685073782733316,2.0772755664011564,0.45285622091405076,0.6901421580069973,0.16812661695346912
qwen-3.5-plus,1,1fdbf2,desktop,50,0.509046390352441,0.5524436318925988,0.6625878051297087,0.7824031490260286,0.7134295470267351,0.4544483586065524
qwen-3.5-plus,5,1fdbf2,desktop,44,0.5793316240521197,0.5998357001023483,0.658421400309565,0.8561429540704177,0.7232602330972058,0.5491752303694958
qwen-3.5-plus,4,1fdbf2,desktop,49,0.4015133031975813,0.5401238311864529,0.7488460171579036,0.6278607317328937,0.6955218091414377,0.4311766903187223
qwen-3.5-plus,2,1fdbf2,desktop,50,0.6422160587034581,0.6138333626252237,0.5564694208709513,0.9618890808287535,0.7415432643921233,0.6090120972862995
qwen-3.5-plus,3,1fdbf2,desktop,46,0.5174590792514387,0.5828515546081567,0.5942365134719945,0.7391078883233787,0.7288598505301974,0.4726004941610803
qwen-3.5-plus,6,1fdbf2,desktop,50,0.7072580229036344,0.660121804514319,0.4583490077290263,1.0853697717105069,0.7657482761002532,0.6879476658904952
qwen-3.5-plus,7,1fdbf2,desktop,48,0.486565652722675,0.5638757744006447,0.7048329069244925,0.719104566729977,0.7002777877200412,0.4727716744389589
qwen-3.5-plus,7,1dd09f,mobile,33,0.26402274423866584,0.3958134051070924,2.793631018372384,0.5735011167358375,0.6724741613215034,0.1984193072327833
qwen-3.5-plus,9,1fdbf2,desktop,50,0.6424590681946316,0.6093619192991687,0.588391335424886,0.9969571327076855,0.7300360331433375,0.6207440599433037
qwen-3.5-plus,10,1fdbf2,desktop,49,0.6124568819511419,0.6143210523246512,0.5850547468419731,0.8867455248452492,0.7341815613076975,0.5836797320632401
qwen-3.5-plus,8,1fdbf2,desktop,50,0.5508433020851985,0.6040389748303938,0.5623009602359027,0.8247615426623017,0.7444015457047549,0.5283137329697322
qwen-3.5-plus,8,1dd09f,mobile,44,0.30738829847347765,0.42930378881377856,2.245769088847318,0.6072428801738693,0.6648420738004405,0.21103171378136562
qwen-3.5-plus,10,1dd09f,mobile,40,0.3064274267110897,0.41658645508985215,2.5029598417281074,0.4980518236873159,0.6638200524761958,0.23544387649789478
qwen-3.5-plus,9,1dd09f,mobile,42,0.34296619500916614,0.4366786971856577,2.6102615747953286,0.7598582505248686,0.7051486869863755,0.2954049894398365
qwen-3.5-plus,1,2bb7d4,desktop,50,0.38089025566127943,0.5621828593568085,0.8087008330897272,0.6990969517527703,0.7070701632225758,0.3567436245359468
qwen-3.5-plus,2,2bb7d4,desktop,45,0.38168193844459575,0.517793884579038,0.9255179386139243,0.6149942807685447,0.6916108530198796,0.37584021231498554
qwen-3.5-plus,4,2bb7d4,desktop,50,0.43027412701641216,0.5633131008903008,0.7537695566396931,0.776153475860874,0.7189395479619114,0.3838970779768318
qwen-3.5-plus,6,2bb7d4,desktop,45,0.28128631650815006,0.4974967014952042,1.0527234452098728,0.48876857847841654,0.6708291028689952,0.30424990995179296
qwen-3.5-plus,5,2bb7d4,desktop,48,0.32758640785836834,0.5163558301689897,0.9084015742784359,0.5622824451652308,0.6829927029716061,0.33745698070394303
qwen-3.5-plus,3,2bb7d4,desktop,50,0.31095504665455753,0.5126433744947705,0.9574324636307521,0.5631865760649573,0.6820021547140724,0.32766163528674025
qwen-3.5-plus,7,2bb7d4,desktop,44,0.32221189832211755,0.5228011505170731,0.9365569417415626,0.5987461852308354,0.6892703765962713,0.3437509345348966
qwen-3.5-plus,1,2fe128,desktop,50,0.2720139312986779,0.47144405576198933,0.9760819907814288,0.46689205926108523,0.6985218298835754,0.2658813448213845
qwen-3.5-plus,9,2bb7d4,desktop,35,0.3254172718343953,0.5245461213850562,1.0017257048184662,0.5815347958713902,0.6793010121777017,0.29542678812266926
qwen-3.5-plus,10,2bb7d4,desktop,43,0.2400341645962487,0.48828178643336473,1.036829630747314,0.4103878698053795,0.6453318364595204,0.26930406362565684
qwen-3.5-plus,8,2bb7d4,desktop,47,0.37336205458190475,0.5250398545423337,0.8516826440900261,0.6846813026020148,0.7021926775898155,0.40024259279065894
qwen-3.5-plus,3,2fe128,desktop,44,0.3201261304972437,0.4768360854372741,0.9110937301822315,0.5625687845264222,0.7031354775243029,0.31881822262383624
qwen-3.5-plus,2,2fe128,desktop,48,0.3157573090058461,0.48234212025703593,0.9319002319186158,0.5251842935741442,0.700314642484636,0.30116680405852103
qwen-3.5-plus,4,2fe128,desktop,50,0.317257789985466,0.48456538217400524,0.9310934235345603,0.5714059289978444,0.7140103942538574,0.3231452740353394
qwen-3.5-plus,5,2fe128,desktop,40,0.30167829405552543,0.48303168997704693,0.9975934892949211,0.5448021600438355,0.7190991453800736,0.2993317871440365
qwen-3.5-plus,6,2fe128,desktop,50,0.38974043409063147,0.5047270839410878,0.8527322860150579,0.6368039258253559,0.7050767716508283,0.3453223698962143
qwen-3.5-plus,7,2fe128,desktop,47,0.29315282477207083,0.48176440354777583,0.9202846197706258,0.5402335976798855,0.7038067599628337,0.28140257418286435
qwen-3.5-plus,2,3664a3,mobile,50,0.45750078028002916,0.5371943408113236,0.6608997179991976,0.7344508185345784,0.7220462682891539,0.5013263131533536
qwen-3.5-plus,10,2fe128,desktop,41,0.4839816364729903,0.5531713017225162,0.7332237788423196,0.8701202743682341,0.7539257590910906,0.46712593271897185
qwen-3.5-plus,1,3664a3,mobile,50,0.6639295934486289,0.670294051389852,0.4387760247160446,1.015989313277435,0.7824908209917865,0.6746475089531564
qwen-3.5-plus,3,3664a3,mobile,47,0.6990358649151451,0.6535207971133314,0.43219026512827285,1.0377941630277618,0.7875788131637422,0.7026998203668974
qwen-3.5-plus,4,3664a3,mobile,50,0.49110090223273706,0.5930534366797346,0.5448664972498587,0.7686706112671039,0.7504431572903654,0.5018761996028958
qwen-3.5-plus,8,2fe128,desktop,49,0.24501857206753708,0.46004490995830155,0.9940408826485647,0.42443947481864197,0.6662698656088848,0.21301426956104688
qwen-3.5-plus,9,2fe128,desktop,50,0.2946849160567648,0.4716273538058871,0.9516349954007465,0.5371519157842526,0.6823941272926084,0.295574841381596
qwen-3.5-plus,5,3664a3,mobile,50,0.6244864559974617,0.6220046428538509,0.5219019987993222,0.9706136658760055,0.7715815544549911,0.657307925303309
qwen-3.5-plus,6,3664a3,mobile,48,0.6825976312869457,0.629312565349682,0.4553026354783878,1.0663229287769538,0.7947326444679332,0.6783115006307748
qwen-3.5-plus,7,3664a3,mobile,50,0.5591662191192615,0.6050092422875699,0.5328413179251567,0.8589264667270639,0.7615339237099675,0.6034234850024556
qwen-3.5-plus,10,3664a3,mobile,47,0.6025497296862572,0.5932571431031564,0.5231844853664427,0.9301675659942059,0.7628124710529135,0.6097781496950317
qwen-3.5-plus,9,3664a3,mobile,45,0.5861178828254454,0.5899062784769126,0.5214984084920564,0.9205880673960325,0.7678779181179916,0.5951525584412756
qwen-3.5-plus,8,3664a3,mobile,50,0.7135581364427067,0.6515622002195933,0.4165664212320582,1.08974580131646,0.7971480096290652,0.717480701629084
qwen-3.5-plus,2,3d29ac,mobile,38,0.413507938604582,0.49232365614593276,1.4385506255292295,0.5263575217023724,0.6987115930872142,0.23596845362875876
qwen-3.5-plus,1,3d29ac,mobile,43,0.3247826021214195,0.48699726104404417,1.4180907095044293,0.3302245482833701,0.6603811859808987,0.14186951356256008
qwen-3.5-plus,4,3d29ac,mobile,44,0.2814093847364834,0.4815176915368119,1.5149233466838217,0.2762681767845126,0.6315081492623313,0.06453653987832
qwen-3.5-plus,3,3d29ac,mobile,40,0.2173362876034153,0.46582343361747663,1.62323752782275,0.274510769820118,0.6154517845299787,0.09880035479283962
qwen-3.5-plus,1,3ec21e,desktop,40,0.6508629622998439,0.6029030224554623,0.6173049050691897,1.2134116766712124,0.8025801179786485,0.6305965403560926
qwen-3.5-plus,3,3ec21e,desktop,44,0.743537090406456,0.6644231006350336,0.4178842826336324,1.361623596192347,0.8280462725919214,0.728039884544706
qwen-3.5-plus,2,3ec21e,desktop,40,0.7846327574629508,0.6858813400451516,0.40054657270724814,1.4296375327718733,0.8282092580835217,0.7747237007694777
qwen-3.5-plus,6,3d29ac,mobile,48,0.25049365183364486,0.46792253508694803,1.4858949750741581,0.3047634076073446,0.6405466366211491,0.07004615955729633
qwen-3.5-plus,9,3d29ac,mobile,47,0.304710752798352,0.4868209905308372,1.3570681390780364,0.3667194766651139,0.6466567613013473,0.09640783632470716
qwen-3.5-plus,8,3d29ac,mobile,46,0.2982249978566913,0.4982970669541793,1.3540539015795563,0.3206662480510998,0.6439665691842127,0.08634582237097352
qwen-3.5-plus,5,3d29ac,mobile,37,0.2757653328464078,0.47336249531695784,1.508793925489036,0.3419503708008973,0.641355829736347,0.11178572501806121
qwen-3.5-plus,4,3ec21e,desktop,41,0.7032786579242696,0.6452753752750982,0.4742965548133248,1.3333295883725205,0.8236593650713953,0.6812338918852575
qwen-3.5-plus,7,3d29ac,mobile,45,0.26440499856737476,0.48364507602835244,1.3815410773096524,0.3076373732556247,0.6373819279525281,0.06075477384351016
qwen-3.5-plus,5,3ec21e,desktop,50,0.743286325414445,0.665959023636566,0.46471261243529693,1.3594445640359034,0.8213076540821017,0.7324655226714597
qwen-3.5-plus,6,3ec21e,desktop,50,0.7319072810029329,0.6661798329995685,0.44488204612663673,1.3770501368727894,0.829056999904284,0.7120181930893297
