model,run,image_id,category,n_points,CC,SIM,KL
ui-tars-1.5,1,075286,desktop,25,0.4051809383919684,0.2853068540010292,4.406184331880651
ui-tars-1.5,2,075286,desktop,25,0.1293649698286385,0.1325766072306343,6.775657970120648
ui-tars-1.5,3,075286,desktop,11,-0.038070588575573,0.018162169573419,10.353885623777623
ui-tars-1.5,4,075286,desktop,11,-0.0097053930238512,0.0220338852127817,10.315450556978815
ui-tars-1.5,5,075286,desktop,13,0.4040141212815141,0.2828897165658591,4.815821302666036
ui-tars-1.5,6,075286,desktop,13,0.4040141212815141,0.2828897165658591,4.815821302666036
ui-tars-1.5,7,075286,desktop,19,0.4016876423279974,0.3140128801596698,4.10161803928575
ui-tars-1.5,8,075286,desktop,22,0.4052686858437477,0.2855739092843943,4.380124556881081
ui-tars-1.5,9,075286,desktop,20,0.4016871015911366,0.3140435850428079,4.097934679747972
ui-tars-1.5,10,075286,desktop,13,0.4471193476814742,0.2918223899123074,4.819005725420587
ui-tars-1.5,1,0b81bd,poster,9,0.0055551154050644,0.0435545004314227,9.08797470867139
ui-tars-1.5,2,0b81bd,poster,9,0.0049495250504421,0.0427989525593049,9.094822545895248
ui-tars-1.5,3,0b81bd,poster,9,0.0049495250504421,0.0427989525593049,9.094822545895248
ui-tars-1.5,4,0b81bd,poster,9,0.0049495250504421,0.0427989525593049,9.094822545895248
ui-tars-1.5,5,0b81bd,poster,9,0.0055551154050644,0.0435545004314227,9.08797470867139
ui-tars-1.5,6,0b81bd,poster,9,0.0049495250504421,0.0427989525593049,9.094822545895248
ui-tars-1.5,7,0b81bd,poster,9,0.0049495250504421,0.0427989525593049,9.094822545895248
ui-tars-1.5,8,0b81bd,poster,9,0.0049495250504421,0.0427989525593049,9.094822545895248
ui-tars-1.5,9,0b81bd,poster,9,0.0055551154050644,0.0435545004314227,9.08797470867139
ui-tars-1.5,10,0b81bd,poster,9,0.0055551154050644,0.0435545004314227,9.08797470867139
ui-tars-1.5,1,0f8ece,web,6,-0.0278614588844848,0.0619081983607144,8.700889626268296
ui-tars-1.5,2,0f8ece,web,9,-0.0629377203252414,0.0679048134923272,8.54518310232125
ui-tars-1.5,3,0f8ece,web,6,-0.0278614588844848,0.0619081983607144,8.700889626268296
ui-tars-1.5,4,0f8ece,web,5,-0.0742089404661619,0.0483439620903777,8.776130002011422
ui-tars-1.5,5,0f8ece,web,5,-0.0742089404661619,0.0483439620903777,8.776130002011422
ui-tars-1.5,6,0f8ece,web,9,-0.0176388621874067,0.0351512894249667,9.06628438170906
ui-tars-1.5,7,0f8ece,web,9,-0.0536468680974619,0.0749717019058641,8.492951493231448
ui-tars-1.5,8,0f8ece,web,6,-0.0278614588844848,0.0619081983607144,8.700889626268296
ui-tars-1.5,9,0f8ece,web,10,-0.0627907379689595,0.0696688840492657,8.07557859731128
ui-tars-1.5,10,0f8ece,web,9,-0.0536468680974619,0.0749717019058641,8.492951493231448
ui-tars-1.5,1,1b307f,mobile,9,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,2,1b307f,mobile,8,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,3,1b307f,mobile,8,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,4,1b307f,mobile,8,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,5,1b307f,mobile,7,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,6,1b307f,mobile,6,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,7,1b307f,mobile,8,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,8,1b307f,mobile,8,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,9,1b307f,mobile,16,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,10,1b307f,mobile,7,-0.027334136352319,0.0,9.712459122876536
ui-tars-1.5,1,1dd09f,mobile,9,-0.0265249411919477,0.0,9.75925738972587
ui-tars-1.5,2,1dd09f,mobile,9,-0.0265249411919477,0.0,9.75925738972587
ui-tars-1.5,3,1dd09f,mobile,55,-0.0265249411919477,0.0,9.75925738972587
ui-tars-1.5,4,1dd09f,mobile,9,-0.0265249411919477,0.0,9.75925738972587
ui-tars-1.5,5,1dd09f,mobile,9,-0.0265249411919477,0.0,9.75925738972587
