image_id,category,gt_entropy_bits,gt_entropy_norm,height,width
f9e25e,desktop,17.42936624907731,0.9456348560810883,667,530
3ec21e,desktop,16.990676338917496,0.9096850446917858,541,775
1fdbf2,desktop,17.64860027818395,0.9288933428643507,666,787
5a6a69,desktop,17.812173083000594,0.9209966372262346,665,998
2fe128,desktop,17.8925073229279,0.9217140780128091,667,1046
67225a,desktop,17.183581389620073,0.8988417832654291,666,854
b5dab9,desktop,18.06968724998695,0.9225381082148854,664,1186
2bb7d4,desktop,18.289451653616435,0.9335061049384183,667,1185
075286,desktop,17.873487024726415,0.9120611151390248,668,1187
7cc04a,desktop,17.88383395628757,0.913150838942456,663,1186
3664a3,mobile,17.641532551141573,0.9292986507536253,960,540
ebe076,mobile,17.732829159356047,0.9341078596240079,960,540
c9b04c,poster,16.522278836243576,0.9281841656903048,302,756
4ae90b,mobile,19.992692346024718,0.9527722206203348,1920,1080
a77bd5,mobile,20.025769238014732,0.9543485337695146,1920,1080
1b307f,mobile,19.20850833968263,0.9154011290151532,1920,1080
3d29ac,mobile,20.226550996374883,0.9639169940079824,1920,1080
58b56c,mobile,19.585268600623778,0.9333560249464044,1920,1080
1dd09f,mobile,19.1409881654766,0.9121833859917758,1920,1080
c08f50,poster,17.014624132193283,0.9430250764158696,450,600
f30633,mobile,19.79507756705983,0.9433546860270409,1920,1080
587857,mobile,19.33702106581328,0.9215255345396457,1920,1080
aabc06,poster,19.19177466467655,0.927287644963255,1133,1500
98474c,poster,17.571315473113522,0.9284985014261274,832,598
6a889e,poster,15.896879902584054,0.9189368603283633,336,480
dd0d82,poster,16.97418125245622,0.9110841328661786,449,904
61707e,web,17.794261405468518,0.9298981887433883,800,720
fac314,poster,18.958699408844765,0.9221527144503665,1000,1545
60593d,web,17.508875044691425,0.9149843772661033,800,720
c3ce89,web,17.219137313345374,0.8780955130611545,800,1000
d48310,web,17.436700616431246,0.8733291098324792,800,1280
4ea758,poster,18.398505444447316,0.909519518956957,960,1280
927a3c,web,17.172813218021787,0.8974223511271677,800,720
ce9bfe,web,17.94405132007642,0.9029509831055051,800,1200
bb34f1,poster,19.197758871929484,0.914888852124958,1920,1080
69a8c4,web,18.638029990322732,0.9334985154898547,800,1280
0b81bd,poster,19.03730211896525,0.8992616703964815,1152,2048
52a3d2,web,19.371329953119343,0.9241275490278766,1080,1891
a4d155,web,18.233823871495463,0.9133051527097087,800,1279
0f8ece,web,19.312416005682707,0.921216497143322,1080,1894
