model,run,image_id,category,n_points,CC,SIM,KL
gemini-3.1-pro,1,3ec21e,desktop,34,0.6953939536765928,0.5871024213692062,0.5771947710238357
gemini-3.1-pro,1,b5dab9,desktop,50,0.17341878086873744,0.2619971777420192,5.733901517354023
gemini-3.1-pro,1,1fdbf2,desktop,30,0.39535059266791434,0.49154769268771414,1.0752431114220338
gemini-3.1-pro,1,5a6a69,desktop,38,-0.12409325594306667,0.03455130157630806,9.525698494327003
gemini-3.1-pro,1,2bb7d4,desktop,34,-0.12042998662337331,0.0020695855369948124,10.754338570628798
gemini-3.1-pro,1,f9e25e,desktop,40,0.04898255164365051,0.3925860187975918,1.5679110384291395
gemini-3.1-pro,1,2fe128,desktop,37,0.2569149408429587,0.36846515660619594,1.2088514950363858
gemini-3.1-pro,1,67225a,desktop,50,0.1782871357575042,0.17372549690459016,8.569778364185197
gemini-3.1-pro,1,075286,desktop,48,0.26762962249129224,0.31928472074670255,1.6791305600539328
gemini-3.1-pro,1,7cc04a,desktop,35,-0.11811249125901854,5.7005846645129656e-05,10.913703953460683
gemini-3.1-pro,1,1dd09f,mobile,33,0.06402594289287405,0.19993799724975464,5.013638497333169
gemini-3.1-pro,1,4ae90b,mobile,33,-0.11269355013427962,0.061652828173399586,8.063138907372814
gemini-3.1-pro,1,3d29ac,mobile,50,-0.046165161369896804,0.0012890726282193694,9.350798738176668
gemini-3.1-pro,1,3664a3,mobile,32,0.4259164078968613,0.4948128641070554,0.8302021354558039
gemini-3.1-pro,1,a77bd5,mobile,44,0.19540930448433041,0.22028514167213747,5.662100043619019
gemini-3.1-pro,1,ebe076,mobile,34,0.1999857573340235,0.326235732635187,1.6509238816148772
gemini-3.1-pro,1,1b307f,mobile,31,0.34828804593442686,0.3892421090139592,2.093189909875721
gemini-3.1-pro,1,58b56c,mobile,33,0.3761619332655873,0.33337475757170193,3.3530180919843766
gemini-3.1-pro,1,f30633,mobile,38,-0.026321909363530568,0.2000105370889989,4.966687006948029
gemini-3.1-pro,1,587857,mobile,30,0.41495237203059643,0.4166155086913933,1.8640167836625243
gemini-3.1-pro,1,c9b04c,poster,32,0.4378951639473073,0.36099885882451643,1.2077122273806007
gemini-3.1-pro,1,aabc06,poster,41,0.2470172493292027,0.3203870930063473,4.20817066526176
gemini-3.1-pro,1,fac314,poster,29,0.13180001885031178,0.25406134783546175,2.797280346776325
gemini-3.1-pro,1,c08f50,poster,50,0.10161275974989796,0.10998169355175286,7.533704334805434
gemini-3.1-pro,1,98474c,poster,32,-0.12295308210681768,0.044004234879274684,8.857873879861376
gemini-3.1-pro,1,dd0d82,poster,50,0.0,0.0,11.753446058237145
gemini-3.1-pro,1,0b81bd,poster,37,-0.08280499244471135,0.004429237184084083,9.833770011167532
gemini-3.1-pro,1,bb34f1,poster,50,-0.043404196118137256,2.6574501694135365e-07,9.505493840774118
gemini-3.1-pro,1,4ea758,poster,37,-0.0725201559518757,1.3533615101487907e-07,10.917096451466639
gemini-3.1-pro,1,6a889e,poster,49,0.22941933133970535,0.42556353245913503,1.2471783936166445
gemini-3.1-pro,1,52a3d2,web,29,0.015335896731600645,0.11498863348609392,5.1631963487415335
gemini-3.1-pro,1,61707e,web,41,-0.20885943408597069,0.1602521396793003,3.3775057893691516
gemini-3.1-pro,1,d48310,web,48,-0.0763465286382524,0.004475381725704226,10.957140412936843
gemini-3.1-pro,1,c3ce89,web,35,0.3985023803882268,0.4388173916305934,1.1959827661348983
gemini-3.1-pro,1,60593d,web,45,-0.12511769091227315,0.013096176977086305,10.940286488757827
gemini-3.1-pro,1,ce9bfe,web,30,0.2611458291804545,0.2259888199270371,2.327941875784086
gemini-3.1-pro,1,927a3c,web,38,-0.0867905763310264,0.0,11.7687464708269
gemini-3.1-pro,1,0f8ece,web,28,0.20053528198433085,0.2708675232491302,4.381918707585363
gemini-3.1-pro,1,69a8c4,web,50,0.04198857764349695,0.045029716168114985,9.112821619997398
gemini-3.1-pro,1,a4d155,web,28,-0.013076821789679062,0.10459870309602677,5.407931997450832
gemini-3.1-pro,2,3ec21e,desktop,30,0.6874190194339778,0.588082786625924,0.6066734898973597
gemini-3.1-pro,2,b5dab9,desktop,50,0.12268201877431575,0.2677018113216552,4.966955927862761
gemini-3.1-pro,2,1fdbf2,desktop,46,0.2701459186538121,0.44126135153231905,1.184739632349898
gemini-3.1-pro,2,5a6a69,desktop,35,-0.11526079938037812,0.02718969931614163,9.698065254164883
gemini-3.1-pro,2,2bb7d4,desktop,35,-0.12888950029578095,0.0025354801558104397,10.74539580929552
gemini-3.1-pro,2,f9e25e,desktop,36,0.08489813259326581,0.40772048731039545,1.5001908160355149
gemini-3.1-pro,2,2fe128,desktop,33,0.17958425147304088,0.3387073321762659,1.3387613709875272
gemini-3.1-pro,2,67225a,desktop,50,0.5772827119430916,0.5638209541428193,0.6612545558506209
gemini-3.1-pro,2,075286,desktop,48,0.26762962249129224,0.31928472074670255,1.6791305600539328
gemini-3.1-pro,2,7cc04a,desktop,32,-0.12555361893475386,0.008034489255004978,10.359808156330507
gemini-3.1-pro,2,1dd09f,mobile,33,0.07367009506203193,0.20954531290774442,4.912803266459073
gemini-3.1-pro,2,4ae90b,mobile,50,-0.04370677590875712,0.0,9.52524449838487
gemini-3.1-pro,2,3d29ac,mobile,48,0.09824985401971098,0.34403210032914033,2.461785522756236
gemini-3.1-pro,2,3664a3,mobile,30,0.5410505567167143,0.547648516117989,0.7699059691964253
gemini-3.1-pro,2,a77bd5,mobile,49,0.3746463363464013,0.31302709168950515,3.744901993861676
gemini-3.1-pro,2,ebe076,mobile,38,0.4987068949514546,0.43570508881438214,1.489313075313476
gemini-3.1-pro,2,1b307f,mobile,30,0.3180141391239013,0.3707016935892756,2.280287917878706
gemini-3.1-pro,2,58b56c,mobile,32,0.29752361841003727,0.3256846597572574,3.5235788898079523
gemini-3.1-pro,2,f30633,mobile,36,0.015072668404527869,0.21871987778564903,3.6683489851445854
gemini-3.1-pro,2,587857,mobile,31,0.4325385660757688,0.42700950519476094,2.343203411475639
gemini-3.1-pro,2,c9b04c,poster,32,0.4689264629928816,0.36902211127857154,1.1656907864151889
gemini-3.1-pro,2,aabc06,poster,41,0.18597903206816,0.3115882033010464,4.03707711870193
